기업명,산업분류,게시판번호,점수,질문,답변
CJ제일제당(주),회계담당자,237522,3.0,CJ제일제당에 지원하게 된 동기와 여러 지원자들 중 본인이 ONLYONE 이라고 생각하는 부분은 무엇인지 작성해 주십시오 ,CJ제일제당은 식품산업 군 매출 위를 기록하고 있습니다 또한 년 SCHWANS COMPANY 인수로 해외 시장까지 공략할 수 있게 되었습니다 하지만 년의 CJ제일제당의 당기순손실은 약 억 원이었습니다 기 재무제표를 확인하면 그 원인은 시설대 목적 장기차입금의 증가로 인한 금융원가의 발생으로 판단할 수 있습니다 이에 CJ제일제당의 부채비율은 전년대비 약  증가해 안정성에 위협을 받게 되었습니다 그 후 년 매출채권의 매각과 자산의 유동화로 당기순이익은  증가했지만 장기차입금과 금융원가는 여전히 많은 비중을 차지하고 있습니다 좋은점   코로나로 HMR 제품 매출이 상승하고 있는 현재 CJ제일제당은 외부적으로 영업이익을 극대화를 내부적으로는 영업외비용을 낮추는 재무 안정화를 지속적으로 시도해야 합니다 때문에 재무 현황에 대한 인과관계를 파악할 수 있고 재무안전성을 고안할 수 있는 인재가 필요합니다 아쉬운점 보유한 자격증은 ONLYONE의 최고 정신으로 재경에 대한 전문성을 증명합니다 또한 학부 내 재무제표분석 수업에서 재무제표를 통한 기업 분석 방법 재무관리에서 재무적 기준으로 기업을 판단 방법을 터득했습니다 이 경험은 CJ제일제당의 상태를 파악해 앞으로 취해야 하는 방향을 결정하는 능력이 됩니다 더불어 자격증의 갯수는 ONLYONE의 차별화 정신입니다 남들이  개로 만족할 때 재경에 대한 적극성을 보여드리기 위해 년부터 년까지 꾸준히 재경 역량을 인증받았습니다 이런 역량을 갖춘 저는 CJ제일제당에 필요한 ONLYONE 임을 확신합니다좋은점  좋은점  지원회사의 특성을 자신의 지원분야 관련 지식과 정보를 활용했다는 점이 좋습니다아쉬운점  이 항목은 회사 지원동기를 쓰는 항목이고 그 내용은 이 부분에 제시되어야 합니다 하지만 그 내용이 없습니다좋은점  지원자는 지원 분야 관련 다수의 자격증을 보유하고 있습니다 즉 직무에 대한 일관된 준비와 열정이 ONLYONE임에 틀림이 없습니다
CJ제일제당(주),회계담당자,237522,3.0,본인이 지원한 직무 수행시 필요하다고 생각하는 역량을 중심으로 직무를 정의해보고 해당 직무를 본인이 잘 수행할 수 있다고 판단하는 근거를 기술해주십시오 본인의 강점 가치관 관련 경험에 근거 ,재경의 필수 역량은 정확성 계획성 책임감입니다첫 번째 정확성 재경은 소수점 의 개수 등 작은 오류가 큰 손실을 야기합니다 이는 정확성으로 발생 가능성을 제거할 수 있는데 학원 근무 중 수납과 비용을 관리하는 업무는 거래 기록의 중요성 등을 깨닫게 해 정확한 업무 처리 능력을 기를 수 있게 했습니다아쉬운점   두 번째 계획성 회계는 정해진 공시 일정을 따라야 하기 때문에 철저한 계획 하에 이루어져야 합니다 저는 일간의 해외여행을 시간 단위로 계획한 경험이 있습니다 인 배낭여행을 안전히 다녀오기 위함이었고 해당 계획을 따라 무사히 여행할 수 있었습니다 이런 철저한 계획성은 CJ제일제당에서도 일정에 차질을 유발하지 않아 팀 내 원활한 업무 처리가 가능합니다아쉬운점  마지막 책임감 회계는 기업의 언어로 공시자료를 통해 제공되며 정보이용자들은 해당 자료를 통해 중대한 의사결정을 합니다 때문에 책임감을 기반으로 투명한 결산 전문성 있는 업무 처리를 이행해야 합니다 다수의 아르바이트와 학생회의 예산 편성 업무는 돈을 직접적으로 관리하면서 역할에 대한 책임감과 청렴한 마음가짐을 가지게 했습니다 또한 역할 수행의 효율을 위해 회계 전산 프로그램 자격증을 취득했습니다 각각의 자격증은 사용 프로그램이 모두 다르지만 그 사용법은 유사했습니다 이는 CJ제일제당 내 회계 프로그램도 빠르게 숙달하여 업무를 이행할 수 있게 합니다아쉬운점  재경의 세 가지 필수 역량을 모두 보유하고 있는 저는 CJ제일제당 FinanceAccounting 부문의 직무를 효과적으로 수행할 수 있습니다                        아쉬운점  특별하지 않은 역량입니다 즉 추상적인 역량이고 검증이 어려운 역량이라는 것입니다 역량을 꼭 세가지를 쓸 필요는 없습니다 지원자는 자격증을 많이 갖추고 있으므로 그 과정에서 쌓은 지식과 능력에 초점을 맞추면 더 호감 가는 내용이 됩니다 이 내용은 특별하지 않습니다 다만 학원 근무에서 수납과 비용을 관리한 업무를 한 것은 호감을 주는 경험이므로 전문성을 이야기할 때 이 경험도 함께 이야기하면 됩니다아쉬운점  여행이라는 이야기 소재가 호감을 주지 못합니다 이런 식으로 자신의 꼼꼼함을 강조하는 내용이 많기 때문입니다 역량을 꼭 세가지를 쓸 필요는 없습니다 아쉬운점  여기서 강조할 것은 책임감이 아니라 회계 전문성이 되어야 합니다 그리고 어떤 지식이 있는지 관련 경험이 있다면 어떤 실무 업무를 했는지를 강조해야 합니다
CJ제일제당(주),회계담당자,237522,3.0,CJ제일제당이 속한 식품산업군은 급속한 환경의 변화가 이루어지는 시장입니다 식품산업군의 지원 직무 Specialist로 어떤 미래를 그리고 싶은지 본인의 성장 계획을 작성해주십시오 ,CJ제일제당은 믿고 먹는 CJ라는 별명이 있습니다 신제품이 나와도 높은 브랜드 가치와 충성도를 기반으로 고객들이 구매하게 된다는 뜻입니다 이는 지속적인 시장 분석과 고객과의 커뮤니케이션으로 만든 신뢰의 결과입니다 이 신뢰를 재무적으로 이어지게 하는 재무회계 전문가가 되고 싶습니다좋은점  재무적 신뢰는 흔들림 없는 내부 구조에서 시작합니다 식품 산업 군의 특성상 다양한 변화 요인이 존재하기 때문에 모든 이슈를 파악하는 전문가가 필요합니다 이런 전문가가 되기 위해 단계별 성장을 계획하겠습니다 첫 번째 보유 역량을 기반으로 한 업무 처리를 하겠습니다 이를 통해 정보이용자들의 의사결정을 지원하여 신뢰를 쌓겠습니다두 번째 넓은 시각을 가지겠습니다 금융위원회의 년 녹색금융 추진안 발표는 년 코스피 기업의 기후 리스크 관련 정보 공시를 의무화했습니다 ESG 경영의 중요성이 증대됨에 따라 재경 부문에서도 변화에 대응하는 능력을 갖춰야 합니다 이처럼 기업 외부 요인을 분석하여 재무구조에 적용하겠습니다 마지막 발생한 리스크를 회복하겠습니다 CJ제일제당이 기 억의 손실에서 기 억 이익으로 재무 리스크를 극복한 것처럼 어떤 요인의 위험이 발생해도 다시 회복하는 것이 재무회계 전문가의 역할입니다 재무부문 내의 집단지성 활용 CJ제일제당의 영업활동 및 부채의 현황 등을 파악하는 전문성과 사고력을 갖추겠습니다아쉬운점   재무적 신뢰 구축으로 고객과 투자자 모두의 만족을 극대화하는 것이 저의 목표입니다 각 계획의 실천으로 CJ제일제당의 재무회계 전문가로 성장하겠습니다                        좋은점  질문에 대한 답을 글 서두에 제시한 점이 좋습니다 다만 단순하게 전문가라고 쓰기 보다는 좀 더 구체적인 전문 분야를 생각했다면 더 호감이 갔을 것입니다아쉬운점  해당 활동의 근거를 제시한 점은 좋습니다 공신력 있는 자료를 활용한 점도 좋습니다 다만 지원자의 활동 계획은 크게 특별하지 않은 일반적인 내용이라는 점이 좋습니다 이 부분도 굳이 세가지를 억지로 맞출 필요는 없습니다 지원 분야에서 본인이 갖추고자 하는 전문 분야 하나를 제시하고 그 전문성을 어떤 계획과 과정을 통해 이루어 나갈 것인지를 구체적으로 쓰는 것이 더 효과적입니다
CJ제일제당(주),화학엔지니어,237293,3.0,CJ제일제당과 해당 직무에 지원한 동기는 무엇인가요  CJ제일제당이어야만 하는 이유  BIO사업부문이어야만 하는 이유  지원 직무에 관심을 갖게 된 계기 및 입사 후 성장 목표 ,번 유기 합성을 통한 정제 과정 숙달 회사를 선택하는 기준인 꾸준한 변화를 통해 혁신을 창조하는 기업 CJ제일제당에 입사하고자 합니다OOOOO 유기 화합물 합성 연구를 진행했습니다 여러 특성을 가진 중간 화합물을 합성하며 재결정 컬럼 크로마토그래피 용매 추출의 정제 과정을 거쳤습니다 분리할 물질에 따라 사용할 용매의 종류 및 조성 극성 조건 온도 이동상 및 고정상의 종류 등 정제 조건을 다차원적으로 고려해야 했으며 이러한 정제 과정에 의해 수득률이 많게는 까지 차이가 발생하는 것을 경험하며 정제 공정의 중요성을 깨닫았습니다 CJ제일제당은 기존 화학 공법에 안주하지 않고 세계 최초 비전기분해 천연 시스테인 개발하는 행보를 통해 꾸준히 변화하며 혁신을 창조하는 기업이며 세계 최고 정제 공법을 가지고 있다고 생각합니다아쉬운점 아쉬운점   번의 유기 합성 연구를 진행하며 유기 화합물 디자인 및 synthetic scheme을 설계하고 합성 컨디션 조절 및 정제 과정 scaleup 과정을 수행하며 용매 사용을 최소화하고 최고의 수득률을 얻기 위해 노력했습니다 유기 합성 연구 동안 배우고 익힌 경험을 통해 물질을 가장 효율적으로 정제할 수 있는 공법을 개발하여 또 다른 세계 최초 필수 아미노산 친환경 생산에 일조하겠습니다아쉬운점  아쉬운점  지원자는 꾸준한 변화를 통해 혁신을 창조하는 기업이 회사 선택의 기준입니다 그렇다면 본인이 그런 사람이라는 것을 제시할 때 공감을 이끌 수 있습니다 하지만 이 부분에서 제시한 것은 그런 내용이 아니라 프로젝트 진행과정에 대한 설명이며 마무리로 정제 공정의 중요성을 깨달았다는 표현도 적절치 않습니다 정제 공정에 대한 전문성을 가지고 있음을 강조해야 한다는 것입니다 즉 자신이 이런 대단한 회사에 왜 어울리는 사람인지를 제시해야 한다는 것입니다아쉬운점  지원자는 꾸준한 변화를 통해 혁신을 창조하는 기업이 회사 선택의 기준입니다 그렇다면 본인이 그런 사람이라는 것을 제시할 때 공감을 이끌 수 있습니다 하지만 이 부분에서 제시한 것은 그런 내용이 아니라 프로젝트 진행과정에 대한 설명이며 마무리로 정제 공정의 중요성을 깨달았다는 표현도 적절치 않습니다 정제 공정에 대한 전문성을 가지고 있음을 강조해야 한다는 것입니다 즉 자신이 이런 대단한 회사에 왜 어울리는 사람인지를 제시해야 한다는 것입니다아쉬운점  질문과 전혀 소통을 하고 있지 않습니다 BIO사업 부문이어야 하는 이유 지원직무에 관심을 가지게 된 계기를 제대로 제시하지 않았습니다
CJ제일제당(주),화학엔지니어,237293,3.0,석사혹은 박사 학위 과정 중 수행한 연구주제에 대해 구체적으로 기술하여 주세요 담당교수 및 연구주제 제목 표기 특허 및 IT개발 지원자의 경우 열정과 책임감으로 한계를 극복하여 최고의 성과를 낸 경험에 대해 다음 내용을 포함하여 구체적으로 작성해 주세요  상황에 대한 설명  한계를 극복하기 위해 노력했던 과정 및 결과  배운 점 ,개인적인 연구 내용은 제외유기 합성에서 중요한 것은 합성 단계 최소화 및 높은 수득률 입니다 따라서 합성 단계를 최소화하는 방향으로 synthetic scheme을 설계했습니다 선행 연구 분석을 통해 사용할 용매를 용해도 계산법을 적용하여 선택했고 당량비와 온도 조건 시간을 TLC로 모니터링하며 최적의 조건을 잡았습니다 용매 추출 시 용매DCM EtOAc Hx MeOH Ether Water의 종류와 전해질의 유무 추출 횟수를 화합물의 특성에 맞게 조절했습니다 컬럼 크로마토그래피는 packing loading 과정과 이동상 조건 설계가 작업자에 의존적인 공정이기에 많은 시간과 경험을 통해 익혔습니다 합성한 화합물은 NMR 질량 분석 ATR UVVis DSC TGA 분석을 통해 합성 여부 및 화학적 특성을 확인했습니다 이러한 과정을 통해 단계 단계의 중간 생성물을 갖는 화합물 개를 합성 성공했고 특허 출원의 결과를 얻었습니다 합성한 화합물의 응용 분야를 찾고 적용시켰습니다과제의 방향 변경으로 인해 단량체의 응용 여부가 불분명해졌습니다 하지만 유사 구조 특성을 갖는 논문들을 분석하고 고분자와의 테스트를 진행하며 단량체의 응용 가능성을 피력한 결과 의견이 채택되었습니다 스마트 소재 제조를 통해 합성 화합물의 응용 가능성을 입증했습니다아쉬운점  아쉬운점  석사 학위 과정 중 수행한 연구주제에 대한 내용은 맞습니다 하지만 특허에 대한 경험일 때 한계를 극복하여 최고의 성과를 낸 경험을 주어진 조건에 맞춰 쓰라고 했습니다 문제는 무엇이 한계이고 왜 그런 지에 대한 구체적인 설명이 없습니다 또한 최고의 성과를 쓰라고 했는데 이는 왜 특허 출원이 가능했는지를 설명한다면 그 답이 될 것입니다 현재 내용은 구체적이고 친절한 설명이 없습니다 단순히 자신이 수행한 프로젝트 과정을 설명하는데 그치고 있습니다 이 자기소개서는 이 분야 전문가도 보겠지만 그렇지 않은 사람도 본다는 것을 생각해야 합니다 이 분야에 대해 잘 모르는 사람이 보더라도 이 내용이 왜 대단한 내용인지 느낄 수 있도록 친절하게 설명을 해야 합니다   
CJ제일제당(주),화학엔지니어,237293,3.0,석사혹은 박사학위과정에서 이수한 과목 중 지원하신 직무와 관련된 과목을 기술하여 주시기 바라며 당시 사용했던 실험기기실험 skill에 대해 기술하여 주십시오 특허 및 IT개발 지원자의 경우 대학생활 중 이수한 과목 중 지원하신 직무와 관련된 과목복수 가능을 기술하여 주시기 바라며 해당 과목을 통해 직무를 잘 수행할 수 있는 이유를 기술하여 주십시오,순도 의 정제를 위해 필요한 스킬을 익혔습니다고분자 재료 고분자공학물성 과목을 통해 고분자 소재의 특성과 물리적 화학적 거동 및 특성에 대해 배웠습니다 고분자공학물성 과목은 DW van Krevelen의 Properties of Polymers 책을 통해 고분자 소재와 유기물의 물리화학적 특성을 정립된 parameter로 배웠습니다 학부 과정에서는 유기화학을 통해 유기 화합물의 합성 메커니즘에 대해 배웠고 유기화학합성 과목에서 Asprin을 합성하며 실험 조건과 작업자의 스킬에 따라 다양한 결과물로 이어지는 합성이 재밌게 여겨져 석사과정에 유기합성 연구를 진행하게 되었습니다 합성 반응시 감압 여과를 통해 필터 하고 용매 추출 후 rotary evaporator로 유기 용매를 제거했습니다 TLC의 Rf와 용해도를 이용해 컬럼 조건을 설계하였고 silica 및 alumina를 고정상으로 사용하여 컬럼 크로마토그래피를 진행했습니다 적게는 개 많게는 개 이상의 혼합물을 분리하며 깨끗히 정제된 화합물을 얻으려 노력했고 현재 무색의 물질도 정제 가능합니다 정제 과정까지 거친 화합물은 proton NMR carbon NMR HMQC 장비와 Mnova 툴로 peak를 적분하고 chemical shift를 통해 확인했습니다 EIMass MALDITOF로 질량을 분석하고 ATR로 특정 작용기를 분석했습니다 화합물의 열적 거동은 DSC와 TGA로 측정했고 데이터는 Origin TA Universal Analysis 등의 툴로 확인했습니다 신뢰도있는 데이터를 위해 장비 사용법을 장비 담당자에게 질문하고 장비 업체에 교육 문의를 하며 익혔습니다 능숙한 정제 장비 및 분석 장비 사용을 통해 원하는 화합물을 의 순도로 정제하여 제조하는데 기여하겠습니다좋은점  좋은점  지식 스킬과 관련한 능력을 제시한 점이 좋고 구체적으로 어떤 경험을 했고 무엇을 다룰 수 있는지를 설명한 점도 좋습니다 다만 이런 과정이 지원직무에 어떻게 활용될 수 있는지를 세부적인 업무 단위로 제시했다면 질문에 더 정확하게 대응하는 내용이 될 것입니다
CJ제일제당(주),품질관리자,237067,2.0,CJ제일제당에 지원하게 된 동기와 여러 지원자들 중 본인이 ONLYONE 이라고 생각하는 부분은 무엇인지 작성해 주십시오 CJ에서 ONLYONE의 의미 참조 ,Do you know Bibigo 엔지니어로서 기존의 한계를 넘어 더 나은 미래가 되도록 공헌하고 싶습니다 한식의 세계화를 위해 끊임없는 발전을 노력하는 CJ제일제당은 저의 직업관을 실현할 가장 적합한 곳이라고 생각합니다 생산기술 직무로서 세계화된 한국의 맛을 완벽히 구현해 KFood 열풍 리드에 일조하고 싶습니다아쉬운점   끊임없이 배우자 저의 지식 탐구 열정은 ONLYONE입니다 학부 시절은 공정에 대한 학습의 열의로 가득 차 있었습니다 화학을 전공하며 배운 원론들이 공정에서 어떻게 쓰이는지 배우고자 화학공학을 복수 전공했습니다 유체유동 화학반응공학 물질전달을 수강해 공정에서 쓰이는 매개변수를 이해하는 역량을 길렀습니다공정에 대한 탐구욕은 화공기사를 취득으로 이어졌고 이처럼 현업에서도 탐구 열정을 가지고 끊임없이 배우겠습니다 담당 공정의 이해를 시작으로 새로운 공정을 학습해 세계 시장 수요에 맞는 최고의 생산성에 도전하겠습니다아쉬운점   팀보다 위대한 선수는 없다 저의 팀플레이를 위한 헌신은 ONLYONE입니다 고교 시절 학교 대표 축구팀에서 뛰면서 감독님께서 자주 하셨던 원맨팀은 팀플레이를 하는 팀을 이길 수 없다라는 말씀은 지금의 제 신조입니다최근 공모전에서도 자진해서 시간이 오래 걸리는 선행 작업을 맡았습니다 팀원들은 저를 배려해 후행 작업을 미리 시작하며 팀으로서 공모전을 진행했습니다 해당 공모전에서 금상을 받으며 팀워크의 가치를 다시금 깨달았습니다 현업에서도 생산기술 팀원으로서 남원공장의 엔지니어로서 팀워크를 위해 헌신해 공정에 효율을 더하겠습니다아쉬운점  아쉬운점  많은 지원자들이 흔하게 쓰는 방식으로 식상하게 쓴 내용입니다 직업관을 언급했다면 읽는 사람으로 하여금 정말 지원자에게 어울리는 직업관이라는 느낌이 들 수 있도록 그와 관련한 자신의 이야기를 구체적으로 제시해야 합니다아쉬운점  onlyone은 거창하게 제시했는데 그 내용은 타 지원자와 크게 다름이 없는 평범한 내용이라는 점이 아쉽습니다 지식 탐구 열정을 제시했는데 내용은 전공 수업이야기 자격증 이야기입니다 타 지원자와 비교하여 특별히 뛰어난 느낌을 주지 못하고 있습니다아쉬운점  자신의 주장에 대해 복수의 경험을 제시하며 논리적으로 접근한 점은 좋습니다 하지만 이 부분에서 활용한 주제가 지식 기술과 같은 명확하게 확인하고 검증할 수 있는 강점이 아니라 팀을 위해 헌신할 준비가 되어 있는 팀 플레이어라는 추상적인 소재라는 점이 아쉽습니다
CJ제일제당(주),품질관리자,237067,2.0,본인이 지원한 직무 수행시 필요하다고 생각하는 역량을 중심으로 직무를 정의해보고 해당 직무를 본인이 잘 수행할 수 있다고 판단하는 근거를 기술해주십시오 본인의 강점 가치관 관련 경험에 근거  ,남원공장의 톱니바퀴 생산기술은 시계의 톱니바퀴와 같다고 생각하며 유기적 협업으로 공동의 목표를 달성하는 제 이상향과 부합합니다 각 톱니의 크기가 맞아야 시계가 돌아가는 것처럼 부서별 맞춤 커뮤니케이션을 통해 긴밀한 협업을 이끌어 내겠습니다학교와 학생 간의 커뮤니케이션 문제를 해결한 경험이 있습니다 당시 학과 측에서 변경된 강의 방침을 신속하게 안내 것이 학생들에게 갑작스러운 통보로 다가왔습니다 학과 근로 학생으로서 양측 입장을 이해할 수 있었습니다 이에 많은 정보 중 학생들이 꼭 숙지해야 할 내용을 QnA 형식으로 SNS에 공유하고 실시간 소통을 진행해 사태가 안정되는데 기여했습니다이처럼 부서별 특성을 파악해 타 부서와 생산기술팀이 모두 만족할 커뮤니케이션으로 협업하는 톱니바퀴가 되겠습니다 변수 복합성 분석의 중요성 또한 생산기술직은 공정 중 발생하는 이슈의 원인을 다양한 변수의 상호작용을 고려해 해결할 수 있어야 합니다GOTiO 복합체 합성을 통한 RhB 분해 실험에서 발생한 문제를 변수들의 복합적 원인을 파악해 해결한 경험이 있습니다 처음에는 문제 원인을 찾고자 개별적 변수를 개선해 실험을 반복했지만 원인을 파악할 수 없었습니다 이후 산화된 전구체가 복합체의 구조 장애를 만들어 결과에 영향을 줄 수 있다고 가정해 변수 간 복합적 요인을 고려했습니다 먼저 SEM으로 입체 구조를 확인할 수 있었고 전구체 환원 및 실험 보완을 통해 끝내 목표치를 달성할 수 있었습니다 현업에서도 공정 이해를 먼저 갖춰 복합적인 변수들로 비롯된 문제들의 대처 방안을 확립하겠습니다아쉬운점  아쉬운점  이 부분은 직무와 관련한 지원자의 강점을 쓰는 곳입니다 즉 직무와 관련하여 자신이 보유한 지식 스킬에 초점을 맞추고 자신이 지원직무에 많는 노력을 했고 그 결과 잘 준비되어 있다는 것을 집중적으로 보여주는 항목이라는 것입니다  지원자는 이 항목에서 커뮤니케이션 능력이라는 추상적인 능력을 이야기하고 있고 두 번째는 이슈의 원인을 다양한 변수의 상호작용을 고려해 해결할 수 있는 능력 이라는 복잡하게 설명한 추상적인 역량을 제시하고 있습니다 결론적으로 문제에 대해 논리적인 방법으로 대응한다는 것입니다 그렇다면 이런 능력이 본인만의 경쟁력이라는 것은 어떻게 증명할 수 있을까요 반면에 대학에서 흔히 배우는 지식이 아니라 기회를 잡기 어려운 어떤 경험을 통해 현장에서만 습득할 수 있는 기술을 가지고 있다는 내용은 흔치 않은 지원자만의 경쟁력이라는 것이 쉽게 공감이 됩니다  즉 지원자는 자신의 경쟁력과 강점을 추상적인 역량만을 활용하고 있다는 것입니다
CJ제일제당(주),품질관리자,237067,2.0,CJ제일제당이 속한 식품산업군은 급속한 환경의 변화가 이루어지는 시장입니다 식품산업군의 지원 직무 Specialist로 어떤 미래를 그리고 싶은지 본인의 성장 계획을 작성해주십시오 ,비비고 만두의 세계 고유명사  최근 코로나 바이러스 유행으로 집에서 식사를 해결하는 집밥족이 늘며 HMR 시장이 급격히 성장하고 있습니다 그 중 비비고 만두는 세계적으로 사랑받으며 CJ제일제당이 글로벌 식품사로 도약할 수 있게 만들었습니다 단순히 현지화된 레시피로 생산하는 것이 아닌 한국식 조리법을 유지하며 현지 시장에 맞춘 생산이 결정적인 요인이라 생각합니다 이에 생산기술직으로서 새로운 시장의 입맛에 맞춘 새 공정 기술을 빠르게 갖출 수 있는 specialist가 되어 비비고 만두의 세계화를 넘어 고유명사로 쓰이는 날이 오도록 하겠습니다아쉬운점   이를 위해 먼저 입사 후 국내 시장 점유율을 높이는데 기여하겠습니다 현재 국내 만두 시장 또한 타 기업들의 CJ제일제당을 따라잡기 위한 노력이 계속되며 경쟁이 심화될 것으로 예상됩니다 이에 남원 공장의 전체 공정과 기술에 대한 전반적 이해를 갖춰 생산기술직으로서 공정 원가절감을 통한 제품의 경쟁력을 높이겠습니다 또한 상황에 따라 공급처가 바뀔 수 있는 식자재 특성에도 항상 같은 맛을 낼 수 있도록 공정 개선에 끊임없이 노력하겠습니다 또한 새로운 시장 진출을 위해 필요한 새 공정 설계 및 양산을 RD 생산 품질팀과 긴밀히 협업해 이뤄내겠습니다 이를 통해 CJ제일제당이 원했던 만두 맛을 공정의 결과물로 만들어낼 수 있는 기술력을 갖추도록 하겠습니다 이후에도 진출할 시장의 특성과 언어를 학습하며 또 다른 시장 확보를 위해 노력해 비비고 만두가 세계 공용 고유명사로 쓰이게 하는 Global No  Process Engineer가 되겠습니다아쉬운점  아쉬운점  이 회사에 지원하는 많은 지원자들이 언급하는 것이 비비고 만두입니다 그리고 그 내용도 지원자의 내용과 크게 다르지 않습니다 쉽게 찾을 수 있는 정보로 큰 고민 없이 쓴 내용은 타 지원자도 그대로 쓴다는 것을 명심해야 합니다아쉬운점  굳이 세 가지를 제시할 필요는 없습니다 많은 자기소개서에서 흔히 볼 수 있는 막연하면서도 식상한 내용인데 세 가지 목표라서 더 형식적인 느낌이 듭니다 세 가지 목표를 대충 쓰는 것보다는 한 가지 목표를 이유 방법론 목표 달성 가능 이유 등 구체적으로 쓰는 것이 더 호감을 줍니다
CJ제일제당(주),영업지원,236859,2.0,CJ제일제당에 지원하게 된 동기와 여러 지원자들 중 본인이 ONLYONE 이라고 생각하는 부분은 무엇인지 작성해 주십시오 CJ에서 ONLYONE의 의미 참조  ,뭐든지 최고가 목표 CJ제일제당의 식품은 국내 최고로서 이미 많은 사람들에게 잘 알려져 있고 시장에서의 접근성도 매우 우수합니다 그러나 사회의 트렌드는 점점 빠르고 예측할 수 없게 급격히 변화하고 있고 소비자의 기호는 점점 다양하고 까다롭게 진화하고 있습니다 CJ제일제당의 핵심 가치 중 하나인 최고는 이러한 급변하는 사회에서 ONLYONE이 되기에 충분한 자격이 있다고 생각하고 변화하는 라이프스타일에 맞춰 미래 먹거리 산업을 주도하기에 최초의 그리고 최고의 기업이 될 수 있다고 생각합니다 또한 어떤 일을 하던지 그 분야에서 최고가 되고자 하는 저의 성격과도 매우 흡사하여 부푼 마음으로 CJ제일제당에 지원하게 되었습니다 아쉬운점   몸치 치어리더가 연습에 연습을 거듭해서 일등 치어리더가 되었고 다양한 서포터즈나 인턴 활동들을 하며 매번 우수상을 놓치지 않으며 대학 학과 내 등을 위해 한 학기 모든 성적을 A를 받기도 하며 심지어 게임을 해도 최고 레벨을 달성하기 전까진 게임을 그만두지 않습니다 돌이켜보면 제가 속한 조직에서 어떠한 일을 맡게 되었을 때 맡은 일엔 언제나 최선을 다하고 그 분야에서 등이 되고자 끊임없이 노력하고 연습하여 달려갔던 것 같습니다 맡은 일에 자신이 있든 없든 일단 목표를 정하고 그 목표를 이루고자 최선을 다하는 이러한 저의 성격은 Food Sales직무에서 좋은 성과를 내기에 굉장히 적합하다고 생각되었고 꾸준한 연습과 노력 신제품 발굴과 고객과의 소통으로 Food Sales 직무에서 최고가 되기 위해 달려가고 싶습니다 아쉬운점  아쉬운점  자기소개서라는 것을 잊으면 안됩니다 이 회사에 지원한 동기를 자신의 이야기로 풀어내야 한다는 것입니다 회사이야기 사회 트렌드 이야기와 같이 이미 알고 있는 내용은 의미가 없다는 것입니다아쉬운점  지원자의 역량과 성과는 잘 알겠습니다 하지만 결국 onlyone이 무엇인지는 설명하지 않았습니다 지원자의 onlyone은 승부근성입니까 근성입니까 
