기업명,산업분류,게시판번호,y,점수,질문,답변
GS리테일,MD,237225,0,2.0,지원 동기,저는 SNS 광고판매 회사에서 인턴으로 근무하면서 상품 소싱을 제안하여 매출 상승에 기여하였습니다 저는 회사 온라인몰에 제품을 등록하고 그 제품을 SNS에서 판매할 스타들을 섭외하는 업무를 하였습니다 하지만 다양한 상품에도 불구하고 팔 물건이 없다는 의견이 있었습니다 저는 온라인 커머스의 인기 제품을 분석하여 여드름 압출기 판매를 제안하였습니다 그리고 이 제품은 하루만에 백 개 이상 팔리며 제가 MD에 관심을 갖게 한 계기가 되었습니다아쉬운점  GS리테일에서 저의 모바일 쇼핑몰 관리 경험을 바탕으로 시너지를 발휘하여 매출 상승에 기여하고자 지원하였습니다 아쉬운점  아쉬운점  이 항목은 왜 지원직무를 희망하고 왜 이 회사에 지원하는지를 쓰는 항목입니다 과거 경험을 스토리텔링을 해서 글자수를 낭비하고 있습니다 MD에 관심을 가진 계기는 짧게 쓰고 그 이후 어떤 준비와 노력을 했는지를 제시하는 것이 더 효과적입니다아쉬운점  지원동기가 한 줄입니다 성의가 없다는 점이 아쉽고 이 회사만의 지원동기가 아니라는 점이 아쉽습니다 
GS리테일,MD,237225,0,2.0,기억에 남는 성공 또는 실패 경험,저는 SNS 마케팅 회사에서 스타가 화장품을 협찬 받아 판매하는 프로젝트를 진행하였습니다 주일 간 명의 SNS 스타를 섭외하는 것을 목표로 하였습니다 저는 블로그에서 화장품을 판매하는 사람들을 떠올려 쪽지로 활동 내용을 적어 섭외를 시도하였습니다 하지만 누구도 답장하지 않았고 이점에 초점을 맞춰 문제를 해결하기 위해 고민했습니다 먼저 친분이 없는 상태에서 받는 제안을 불쾌하게 느끼며 광고성 글은 무시할 것이라는 가설을 세워 섭외 방법을 바꾸었습니다 그래서 먼저 블로그 친구를 맺고 댓글을 남기며 친밀감을 높였습니다 그 후 댓글을 통해 프로젝트를 제안하였습니다 하지만 모든 블로거가 마진이 적다 모르는 제품이다 등의 이유로 거절하였습니다 적은 마진 문제를 해결하기 위해 화장품 공급업체와 조율하여 최저가로 제품을 공급 받았습니다 제가 직접 사용한 후기를 제공하여 상대방의 신뢰감을 획득해 나갔고 결국 이러한 방법으로 일만에 명의 SNS 스타를 섭외하는 성과를 올렸습니다 입사 후 기획과는 달리 판매가 부진했던 제품 등을 분석하여 문제점을 개선해나가는 MD가 되겠습니다아쉬운점  아쉬운점  실제 업무 경험을 제시한 점과 사례를 구체적으로 제시한 점은 좋습니다 하지만 이 내용을 보면 상대와의 협상에서 회사에 유리한 방향이 아니라 상대의 조건을 무조건 맞춰주는 방식으로 업무를 수행했다는 점이 아쉽습니다 그리고 SNS 스타를 섭외하는 성과와 더불어 프로젝트 전체 결과가 어떤 성과가 있었는지도 함께 제시하면 더 좋았을 것입니다
GS리테일,MD,237225,0,2.0,개인의 Vision에 대하여 GS리테일에서의 Vision 포함,저의 비전은 제 위치에서 최선을 다하며 자기 계발을 소홀히 하지 않는 것입니다아쉬운점  재작년 월 제가 관할하고 있던 OO 지역 유통 매장에서 미입점 행사를 진행할 때 해당 행사를 총괄한 적이 있습니다 우선 해당 점포에 방문하여 매대 행사 자리를 협의하였습니다 점포 당당을 만나기 전 미리 홈페이지에서 해당 층 안내도를 출력한 뒤 고객 주동선을 미리 파악하였습니다 그리고 점포 담당을 만나 행사 기획안 예상 매출을 보여드리며 미리 봐두었던 고객이 많이 다니는 자리를 달라 어필하였고 이에 따라 원하는 자리를 얻을 수 있었습니다 또한 행사 전날 저녁 직접 매대 두 동을 디피하면서 가격 POP를 제작하는 등 세심하게 준비하였습니다 그 결과 비가 오는 악조건에도 불구하고 당일 행사 매출 만 원을 달성할 수 있었습니다아쉬운점  아쉬운점  비전은 내다보이는 장래의 상황 이라는 뜻이 있습니다 즉 지원자가 미래에 어떤 모습일 것 같은가를 설명하는 것인데 제시한 내용은 최선을 다하고 자기계발에 소홀하지 않는 것입니다 이는 특별한 내용이기보다는 당연히 그렇게 해야 하는 것으로 생각되는 내용이라 호감을 주지 못하고 있습니다 아쉬운점  이 항목은 미래의 본인의 모습에 초점을 맞춰 써야 합니다 즉 지원 회사에서 어떻게 일을 하고 어떻게 자기계발을 할 것인지에 대한 내용이어야 한다는 것입니다 현재 내용은 과거 자신의 성과에 대한 내용입니다
GS리테일,영업지원,236291,0,2.0,gs리테일에 지원하게 된 동기를 적어주세요,편의점은 절대 망하지 않는다 이제는 전국 웬만한 곳에서 시간 언제든 편의점에서 끼니와 생필품 구매를 해결할 수 있습니다 깜깜한 밤길을 걷다 익숙한 편의점 간판의 불빛을 보면 고맙기까지 합니다 친근함과 편리함이 주는 호감도가 타 유통 채널과는 다른 엄청난 가치를 만들어냅니다 이것이 편의점 업계가 여년의 짧은 역사에도 불구하고 빠르게 성장한 이유이며 이런 추세로 볼 때 편의점만큼은 언택트 IT등의 트렌드 변화에도 흔들림 없을 것입니다 다수의 점포 운영이 수익으로 이어지는 프랜차이즈 산업 특성상 차별화된 MD역량과 컨셉 점포 등으로 꾸준히 가맹점주를 확보하고 있는 GS리테일의 미래가 밝습니다 아쉬운점 OOO OOOO극장 스태프로 근무하며 공연팀과 주관사의 원활한 소통을 도왔고 매주 통 이상의 설문지를 돌려 관객들의 의견을 현장에 반영했습니다 영업관리 직무는 현장에서 피드백을 받을 수 있고 활동력 있게 돌아다닐 수 있다는 점에서 매력적입니다 또 쉽지 않은 목표를 달성하는 데서 재미를 느끼는 저의 성향과도 잘 맞습니다 다양한 경험과 성격적 장점을 살려 매출위 점포를 만드는 영업관리자가 되겠습니다 아쉬운점  아쉬운점  이런 내용을 쓰는 곳이 아닙니다 일반적인 이런 내용이 아니라 지원자의 이야기를 써야 합니다 OO학을 전공한 지원자가 왜 유통산업에 관심을 가지게 되었는지를 설명하는 것이 좋겠습니다아쉬운점  이런 내용이 아니라 지원자가 이 회사에 입사를 하겠다고 결심을 했다면 그 결심이 있기까지 회사에 대해 알아보고 분석한 과정이 있었을 텐데 그에 대한 내용을 쓰는 것이 더 효과적입니다
GS리테일,영업지원,236291,0,2.0,지원분야 직무 수행을 위한 본인의 경험과 노력을 적어주세요,식초 하나를 팔아도 느낌있게 OOOO OO기업 박람회에서 두개 만원 하는 비누를 판매한 적이 있습니다 상품을 팔고자 열심히 제품 효능을 설명했지만 단가가 높아서인지 사람들 호응이 적었습니다 결국 이틀간 세트 남짓 판 것이 전부였고 저는 실망했습니다 집에 와서 생각해보니 사장님과 상의해서 판매 멘트를 바꾸거나 손을 씻어주는 시연회 등을 제안해 볼 걸 하는 후회가 들었습니다 이후 OO OO백화점에서 음용식초를 팔게 되었습니다 이번에는 사장님께 건의해 저만의 방식을 시도했습니다 안 팔리는 파인애플 식초 대신 색이 예뻐 관심을 끄는 자몽 식초를 더 잘 보이게 진열했습니다 나이 드신 분들은 신 것을 잘 못 드시니 달달한 파인애플 식초 시음을 권했습니다 또 SNS유행어를 섞어 이렇게 마시면 기분이 조크든요하고 멘트를 하니 젊은 손님들이 재밌어 했습니다 그 결과 전주보다 만원 정도 일평균매출이 올랐고 사장님은 이렇게 야무진 알바는 처음이라며 이후 행사 때도 불러주셨습니다 이제는 편의점 물건도 트렌디하게 팔아야 합니다 경영주에게 적극적으로 판매 혁신을 제안하는 영업관리자가 되겠습니다좋은점 아쉬운점  좋은점  전혀 호감이 가지 않는 내용입니다 본인의 경험 노력을 꼭 과거에서 찾을 필요는 없습니다 지원자가 이 회사에 입사지원을 해야 겠다고 생각한 이후 이 회사에 대해 조사한 활동 분석한 활동 직무를 분석한 내용 등이 더 직접적인 경험이 됩니다 이런 경험을 바탕으로 조직과 직무의 특성을 규정하고 이와 관련하여 자신이 왜 조직과 직무에 어울리는 사람인지를 과거 주 활동 사항을 간략하게 설명하는 식이 된다면 좀 더 공감이 가는 내용이 될 것입니다 아쉬운점  전혀 호감이 가지 않는 내용입니다 본인의 경험 노력을 꼭 과거에서 찾을 필요는 없습니다 지원자가 이 회사에 입사지원을 해야 겠다고 생각한 이후 이 회사에 대해 조사한 활동 분석한 활동 직무를 분석한 내용 등이 더 직접적인 경험이 됩니다 이런 경험을 바탕으로 조직과 직무의 특성을 규정하고 이와 관련하여 자신이 왜 조직과 직무에 어울리는 사람인지를 과거 주 활동 사항을 간략하게 설명하는 식이 된다면 좀 더 공감이 가는 내용이 될 것입니다 
GS리테일,영업지원,236291,0,2.0,조직의 이익을 위해 남들이 꺼리는 일을 자발적으로 수행한 경험을 적어주세요,중국인에게 향수 시향을 권하다 작년월 OO OO백화점 OO 뷰티 팝업스토어에서 프로모터로 근무 시 행사장 외부로부터 하루 약 명의 중국 고객을 끌어들였습니다 당시 약 명의 프로모터가 함께 일했고 행사장에는 하루 회의 메이크업 쇼가 있었습니다 담당자 말에 따르면 중국 고객 한 명당 구매금액이 크기 때문에 메이크업 쇼 때 잠재적 고객들을 유인하는 게 중요했습니다 행사장이 구석에 위치해 사람 모으는 일이 쉽지 않았고 중국어가 가능했던 저는 행사기간 내내 전단을 나눠주는 핸드빌 업무를 자원했습니다 아쉬운점 인기 제품인 자도르 향수를 들고 행사장 밖에서 지나가는 사람들에게 시향을 권유했습니다 크리스마스 한정판 립스틱을 보여주며 친절히 설명도 하니 전단만 나눠줄 때 보다 중국인들이 관심을 더 보였습니다 결과적으로 행사는 하루 천만원에서 억의 성공적 매출고를 올렸습니다 비록 보너스같은 물질적인 보상은 없었지만 직원들 모두 수고해줘서 고맙다고 했고 좋은 결과가 나온 걸 보니 저도 기분이 좋았습니다 또 이후 다른 알바 등 조직활동에 있어서도 적극적으로 일하는 자세를 가지게 되었습니다아쉬운점  아쉬운점  이 부분에서 남들이 꺼리는 일이었다는 것이 설명되어야 합니다 아쉬운점  알바로 표현한 부분을 아르바이트로 제대로 쓰는 것이 좋겠습니다
GS리테일,영업지원,236291,0,2.0,실수나 실패를 극복한 경험을 적어주세요,대학생을 사로잡은 한국의 떡볶이 중국 유학시절 학교 축제서 떡볶이를 팔아 만원의 순이익을 보았습니다 같은 반 동생에게 함께 참가하자 설득해 일의 축제 동안 팔 인분의 떡을 준비했습니다 다른 친구들은 그건 작년 평균 판매량의 배가 넘는다며 우려했습니다 행사 관계자들에게 물어보니 올해 방문객이 최고로 예상된다 했고 저는 자신이 있었습니다 하지만 첫날 목표치의 인 인분밖에 팔지 못했습니다 그래서 이튿날부터 판촉을 위한 다양한 방식을 시도했습니다 우선 행사장 외에도 교문 등 사람이 많은 동선에 홍보지를 더 붙여 부스와 음식에 대한 간략한 정보를 얻을 수 있도록 했습니다 부스에는 편리성과 판매 회전율을 높이기 위해 QR결제코드를 곳곳에 설치했습니다 또 중국 대학생들 사이에서 한류가 꾸준히 인기였기 때문에 당시 방영 중이던 드라마 뷰티인사이드의 떡볶이 시식장면을 태블릿pc로 틀어 놨습니다 이러한 시도 끝에 결국 일째 되던 날 인분을 완판했습니다 효율적인 점포 운영과 판매전략은 편의점의 성패를 좌우합니다 문제분석과 전략수립을 통해 목표매출을 달성하는 영업관리자가 되겠습니다아쉬운점  아쉬운점  특별히 문제가 있는 내용은 아니지만 질문의 의도에 딱 맞는 사례가 아니라는 느낌이 듭니다 이 항목은 자신이 실수하거나 실패한 경험 뒤에 가질 수 있는 문제를 극복한 경험을 쓰는 항목입니다 즉 어떤 일에 명확하게 실수하고 실패한 사례가 제시되어야 하는데 이 사례는 결론적으로 성공한 사례입니다 축제 과정에서 문제가 발생한 것을 해결한 사례이지 실수나 실패의 사례는 아니라는 것입니다
GS리테일,영업지원,236291,0,2.0,자신의 불리함을 감수하고 정직함을 지킨 경험을 적어주세요,치킨 한조각에 걸린 양심 대학학년 학교 앞 치킨집에서 서빙 알바를 할 때 정직한 손님 응대를 통해 가게에 대한 신뢰를 얻었습니다 어느 날 사장님이 안 계시던 시간에 같이 일하던 선임 알바생이 서빙을 하다 치킨을 흘린 걸 보았습니다아쉬운점  그가 바닥에 떨어진 한 조각을 다시 올려놓고 서빙 하려는 걸 제가 막았습니다 원재료인 닭은 한 마리씩 소포장하기 때문에 빠진 부위만 다시 튀길 순 없었고 선임 알바는 닭 로스 금액을 자기가 메꿔야 한다는 생각에 모른 체하려 했던 것입니다 그래도 저는 우리 양심은 지키자 하며 로스를 같이 메꾸더라도 한 마리 새로 요리하자고 설득했습니다 그 사이 시간이 지체되어 손님께 사정을 설명하니 그래도 솔직히 말해줘서 고맙다 라며 양해하셨습니다 나중에 사장님이 오셨을 때 자초지종을 말씀드렸습니다 얘기를 들은 사장님은 닭 값을 청구하기는 커녕 오히려 잘했다고 하셨습니다 양심적인 장사는 당장은 손해인 것처럼 느껴질 수 있지만 장기적으로 충성 고객을 만드는 바른 방식이라고 생각합니다 편의점 영업에 있어서도 이처럼 경영주와의 신뢰를 쌓아 믿을 수 있는 기업 이미지를 만들겠습니다아쉬운점  아쉬운점  알바로 표현한 부분을 아르바이트로 제대로 쓰는 것이 좋겠습니다아쉬운점  이 사례에서 지원자가 불리함을 감수한 것이 무엇인지 설명되지 않았습니다 그리고 내용상으로도 지원자에게 어떤 불리함이 있었는지 알 수 없습니다
GS리테일,영업지원,235473,0,2.0,GS리테일에 지원하게 된 동기를 서술하여 주십시오,같이의 가치를 실천하는 기업 GS리테일 제가 GS리테일에 지원한 이유는 이미 업계 위의 자리에 있음에도 불구하고 최고 기준에 대한 집념을 바탕으로 변화하는 소비트렌드를 계속해서 선도하는 기업이기 때문입니다 또한 GS리테일은 모닝커피로 고객의 아침을 맞이하고 새벽배송을 통해 고객의 밤을 책임지며 고객의 매 순간과 함께하는 기업입니다 이뿐만 아니라 우리동네딜리버리 착한상회 등을 통해 지역 주민들과 상생하고 있습니다 이를 바탕으로 GS리테일은 단순한 소비점을 넘어 매일의 라이프 스타일 플랫폼으로써 고객과 계속해서 함께할 것이라 믿습니다아쉬운점   저 또한 제 삶에서 GS리테일은 빼놓을 수 없는 곳입니다 GS는 저에게 때로는 카페가 되고 때로는 식당이 되었습니다 매일 GS와 함께하며 GS를 통해 느꼈던 행복을 다른 사람들에게 전달하고 싶다는 생각이 들었습니다 GS리테일의 OFC로써 점주분들과 진심어린 서비스와 피드백을 통해서 GS리테일과 같이 걸어가고 싶습니다아쉬운점  아쉬운점  회사 지원동기는 회사의 이야기가 아니라 지원자의 이야기가 중심이 되어야 합니다 즉 이런 생각을 하게 된 이유의 본인의 특성이나 경험 지식에 초점을 맞춰 설명해야 합니다아쉬운점  지원동기를 쓰는 항목인데 포부에 대한 내용입니다 게다가 내용이 막연하여 특별히 호감이 가지 않습니다
GS리테일,영업지원,235473,0,2.0,지원분야 직무 수행을 위한 본인의 경험과 노력을 서술하여 주십시오,저는 OFC가 필요한 역량은 소통능력과 계획성이라고 생각합니다 그 이유는 OFC는 자신이 정한 스케줄에 따라 업무 하며 많은 점주분들과 가깝게 소통하는 것이 중요하기 때문입니다 저는 과외를 하며 학생과의 소통을 통해 등급의 학생을 개월만에 등급까지 올린 경험이 있습니다 저는 소통이 서로의 목표가 같음을 드러내는 것이라고 생각합니다 그 학생이 공부를 기피하던 이유는 만화를 그리는 것에 관심이 있었기 때문입니다 목표를 부모님의 기대를 위한 공부가 아닌 만화가로서 인정받기 위한 공부로 바꾸자 학생의 성적이 가파르게 상승하였습니다저는 또한 계획성을 기르기 위해 작년부터 일기와 플래너를 매일 작성했습니다 저는 계획을 통해서 해야 할 일들을 명확하게 하고 했던 일들을 다시 바라보는 것을 배웠습니다 일기를 년 가까이 써오면서 매일의 우선순위를 정하는 것과 피드백 하는 방식을 끊임없이 개선했습니다아쉬운점  아쉬운점  직무와 연관이 있는 경험이 아니라는 점이 호감을 떨어뜨립니다 좀 더 직접적으로 연관이 있는 본인의 경험과 노력이 제시될 때 호감을 줄 수 있습니다
