기업명,산업분류,게시판번호,점수,질문,답변
NH농협은행,금융영업,237508,2.0,귀하가 직무와 관련하여 습득한 지식이나 기술을 개 이상 열거하고 그중에서 가장 대표적인 사항에 대한 자기개발의 과정과 결과를 구체적으로 서술하시오,농협의 신용업무를 수행하기 위해서 금융 전문성AFPK 투자자산운용사 신용분석사 시사상식신문스크랩 및 토론모임 고객소통역량을 성장해왔습니다 그중 소통역량은 고객 만족도를 향상시킨다는 점에서 가장 중요하다고 생각합니다 현대백화점에서 저만의 초 눈 맞춤을 통해 팀 내 첫 고객 우수사원이 된 경험이 있습니다아쉬운점   당시 사은 데스크는 고객불만이 많은 부서로 선정되어 고객만족도 향상에 관심을 두기 시작했습니다 팀의 목표에 이바지하고자 이용 고객을 조사했습니다 대부분 쇼핑을 마친 후 지친 상태로 사은 데스크로 오기 때문에 빠른 업무 처리를 원했습니다 하지만 직원들의 꼼꼼한 응대 방식으로 인해 대기 고객의 피로도를 상승시켰고 고객불만으로 이어졌습니다 이러한 고객의 니즈를 반영하여 초 눈 맞춤법을 개발하게 되었습니다 초의 눈인사 고객 파악 손 마중을 실천한 결과 한층 더 빨라진 업무 처리 속도와 더불어 첫 고객 우수사원으로 선정될 수 있었습니다 입사 후 불규칙한 경제 흐름 속에서 농협인의 요구사항이 무엇인지 파악하고 그에 적절한 대안을 제시하는 든든한 농협이 되겠습니다아쉬운점  아쉬운점  질문에서 분명히 지식 기술을 명시했습니다 고객소통역량은 지식도 아니고 기술도 아닙니다 이는 태도에 가까운 역량입니다 그런데 지원자는 자신의 대표 지식이나 기술을 소통역량을 제시하고 있습니다아쉬운점  전혀 호감이 가지 않습니다 이런 류의 사례는 굉장히 많은 지원자가 흔하게 제시하는 사례입니다 이 부분에서는 금융전문지식을 제시하는 것이 더 호감을 줄 것입니다
NH농협은행,금융영업,237508,2.0,세 이후 처음에는 불가능하다고 생각한 과업에 대하여 초기의 선입관을 극복하고 성과를 이룬 사례를 소개하시오,빅데이터라는 새로운 분야의 도전에 막연한 두려움을 가지고 있던 때였습니다 혼자가 아닌 셋이서 OO OOOO 아이디어 공모전에 도전하며 그러한 선입관을 극복할 수 있었습니다 당시 저와 팀원들은 R 언어 초보자 그리고 첫 공모전 활동이라는 공통점을 가지고 있었습니다 이처럼 아이디어 제안부터 응모작을 완성하기 쉽지 않은 상황이지만 공모전에 대한 열정만큼은 누구보다도 뜨거웠습니다아쉬운점   주제를 정한 후 업무 분담을 통하여 맡은 분야에 대한 조사를 시작했습니다 각자의 업무를 공유하고 모르는 부분이 있으면 논문을 찾아보거나 관련 종사자와의 조언을 통해 부족한 지식을 채워나갔습니다 한 땀 한 땀 정성 들여 마침내 바이오데이터를 통한 OOOOO 예방방안이라는 제안서를 만들 수 있었습니다아쉬운점   공모전의 경험을 통해 협동의 중요성을 깨달았습니다 어떠한 난관이 오더라도 함께할 사람이 곁에 있다면 개인의 한계를 뛰어넘는 능력을 발휘할 수 있다고 생각합니다 포스트 코로나라는 변화의 물결 속에서 도시농촌 간의 지속적인 협업으로 지역경제에 이바지하는 도전형 농협이 되겠습니다아쉬운점  아쉬운점  질문에 맞게 써야 합니다 질문에서는 불가능하다고 생각한 과업이라고 했습니다 지원자는 두려움을 가진 과업이었다고 썼습니다 같은 뜻이 아닙니다아쉬운점  이 부분에서 지원자가 해야 했던 과업이 불가능해 보이는 과업이 아니라는 느낌이 든다는 점이 아쉽습니다 불가능하다고 생각한 부분이 어떤 부분인지 명시하고 왜 그런지 이를 어떻게 극복했는지를 설명해야 합니다아쉬운점  마무리 역시 질문에 맞게 써야 합니다 난관이 아니라 불가능하다고 생각한 일에 대한 자세와 태도로 설명해야 합니다
NH농협은행,금융영업,237508,2.0,귀하가 소속한 조직이나 모임에서 다른 사람이 당연히 인식하는 관행을 먼저 극복하여 변화를 주도한 경험을 소개하시오,프로젝트 과정 내 관행을 솔선수범의 자세로 극복하고 A를 받은 경험이 있습니다 OOOOO 작가의 삶이라는 과제를 위해 다양한 사전 조사가 필요했습니다 하지만 조직 내에는 인터넷 자료를 그대로 이용하는 것이 관행처럼 이어져 왔습니다 아르바이트하느라 바쁜 팀원들 또한 그러한 방식을 선택할 수밖에 없었습니다 뻔한 자료가 싫었던 저는 팀원들의 몫까지 직접 발품을 팔기 시작했습니다 서적과 논문 속 참고가 될 만한 자료 목록을 작성하여 팀원들에게 구체적인 제안을 제시했습니다 소극적이던 팀원들은 저의 노력에 조금씩 변하기 시작했습니다 자료 검토 중 번역이 이상하다는 것을 발견한 팀원은 직접 해석하자며 과제에 대한 열정을 불태웠습니다 그 결과 기존의 방식을 선택한 다른 팀은 교수님의 지적을 받았지만 저희 팀은 차별화된 준비와 노력 덕분에 우수한 성적을 받을 수 있었습니다아쉬운점   이처럼 팀원의 행동을 이끌어내기 위해서 솔선수범의 자세가 필요하다는 것을 느꼈습니다 위 경험을 바탕으로 직접 나서서 해결방안을 찾고 팀원과 조금씩 조율함으로써 더 나은 조직 문화 형성에 앞장서는 농협이 되겠습니다                        아쉬운점  최대한 질문에 맞게 쓰려고 노력한 흔적은 엿보입니다 하지만 내용 중에서 지원자는 발품이라는 단어를 썼는데 내용에서는 발품을 판 활동은 없었습니다 발품은 걸어다니는 수고를 말합니다 
NH농협은행,금융영업,237508,2.0,귀하가 농협에 지원한 동기를 개의 단어키워드를 먼저 제시하고 이 요약된 키워드를 중심으로 귀하의 지원동기를 구체적으로 서술하시오,나눔 성장 그리고 열정을 바탕으로 지역사회에 공헌하는 농협의 행보에 인상 깊어 지원하게 되었습니다 후배의 꿈을 돕기 위한 작은 나눔 속에서 함께 성장한 경험이 있습니다 일면식도 없던 한 후배가 중국 교환학생이 되고 싶다며 유경험자인 저에게 도움을 청해왔습니다 그 친구의 간절한 마음을 느껴  멘토링을 시작하게 되었습니다 후배의 중국어 실력을 파악하여 그에 맞는 커리큘럼을 설계했습니다 우선 서류 지원의 가산점을 얻기 위해 HSK 급 취득을 조언했습니다 그리고 면접 때 자기소개서 지원 동기 등 중국어로 말하는 연습을 도와주었습니다 멘토링이 막바지로 접어갈 때쯤 후배는 간단한 단어 정도 구사하던 실력에서 하나의 문장을 완성할 정도까지 성장했습니다 이러한 변화는 자신감으로 이어져 교환학생 합격명단에 오를 수 있었습니다 그러한 후배의 모습에 자극을 받아 HSK의 최고 수준인 급에 도전하게 되었습니다 합격이라는 글자를 본 순간 나눔의 중요성을 깨닫는 계기가 되었습니다아쉬운점   농협의 열정처럼 입사 후 고객의 삶의 질 향상에 도움을 주는 농협이 되겠습니다                        아쉬운점  전반적으로 다시 쓰는 것이 좋겠습니다 질문에서 키워드 개를 제시하고 이 키워드를 중심으로 지원동기를 쓰라고 했습니다 지원자는 제시한 키워드 개 중 하나만 설명했습니다 그리고 제시한 키워드도 특별하지 않고 지원자 만의 강점이 느껴지지 않았습니다
NH농협은행,금융영업,237228,2.0,귀하가 생각하는 직장인이 가져야 할 가장 필요한 지식이나 기술 또는 가치관을 작성하고 이와 관련한 본인의 경험을 근거로 서술하시오,기존의 비효율적인 업무 관행을 탈피하고 업무 방식을 개선하여 효율을 높이는 것이 중요하다고 생각합니다 이를 통해 불필요한 시간 낭비를 줄일 수 있기 때문입니다아쉬운점   ERP 개선을 통해 결산일을 앞당기다 자동차 부품회사 구매팀에서 근무하며 업무 프로세스 개선을 건의하여 결산 업무에 쏟던 시간을 획기적으로 줄인 경험이 있습니다 당시 여 개 팀의 매입품을 우리 팀에서 ERP에 매입 입력을 했기에 하루에도 처리해야 할 매입전표는 엄청나게 많았습니다 저는 이를 비효율적이라 여겨 개선 방법을 고민하였고 각 팀에서 작성한 구매요청서를 바탕으로 입고품 검수 후 승인만 하면 자동으로 전표가 입력되도록 시스템을 개선하자고 제안하였습니다 프로젝트 추진을 위해 전산운영팀과 TFT를 구성하여 ERP 내 새로운 화면을 만들어 나갔습니다 새로운 ERP 화면이 완성될 즈음에는 교육용 PPT를 만들어 팀별 담당자들을 모아 개선된 업무 방법을 교육하였습니다 이러한 개선을 통해 수기 전표 입력량은  이상 줄었고 결산 마감일은 일이나 앞당길 수 있었습니다 이처럼 문제의식을 바탕으로 개선점을 모색했기에 업무 능률이 향상될 수 있었습니다아쉬운점  아쉬운점  질문에 제대로 답을 써야 합니다 질문에서는 가장 필요한 지식 기술을 쓰거나 가치관을 쓰라고 했습니다 지식 기술 가치관 중에 무엇을 말하고 있는 것인지 잘 모르겠습니다아쉬운점  지식 기술 가치관에 대한 이야기도 아니고 이야기 소재도 지원직무와 직접적으로 연관이 없는 내용이라 호감이 가지 않습니다
NH농협은행,금융영업,237228,2.0,귀하는 마감시한이 정해진 문제를 해결하고자 할 때 어떤 부분을 최우선순위에 두고 해결하려는 지와 그 이유를 경험에 근거하여 서술하시오,기한 내 업무처리신뢰 업무를 하다 보면 갑작스레 긴급한 업무가 발생하곤 합니다 그럴 때마다 저는 일의 우선순위를 고려하여 마감시한 임박 순으로 처리하곤 했습니다 항상 기한 내에 결산 문서 기안 보고 등을 하는 데 중점을 두었습니다 그 이유는 정해진 기한 안에 처리함으로써 업무 상대방과의 신뢰 관계를 유지해 나갈 수 있기 때문입니다아쉬운점   군 부사관 시절 보급급양담당관이던 저는 월초 월말에 특히 바빴습니다 매일 하는 일과 더불어 월 단위 급식 물자 유류 결산을 위한 자료 작성 국방물자정보체계 결산 등 다소 시간이 많이 소요되는 업무를 감당해야 했기 때문입니다 특히 급식 결산은 며칠씩 진행했기에 일과 중 결산 업무를 어느 정도 처리한 후 루틴하게 이뤄지는 청구 수령 불출 창고정리 등은 후에 진행하거나 야근을 통해 해결했습니다 그 와중에도 상급부서에서 긴급하게 파악하여 보고해야 할 사항이 있으면 가장 우선적으로 처리하곤 했습니다좋은점   이처럼 계획성을 갖고 선택과 집중을 발휘하여 업무를 진행하였기에 군 복무 년간 단 한 번도 업무 마감시한을 넘긴 적이 없었고 주변 분들에게 신뢰받는 간부가 될 수 있었습니다                        아쉬운점  질문을 잘 못 이해한 글입니다 질문은 어떤 문제를 해결하려고 하는데 마감시한이 정해져 있다면 어떤 부분을 최우선으로 둘 것인가를 묻고 있는데 지원자는 많은 일을 해야 하는 상황에서 어떤 일을 최우선적으로 할 것인가에 대한 답을 썼습니다 좋은점  이 부분은 질문의 의도에 맞게 작성되어 있습니다 결국 지원자는 마감시한이 있는 경우 중요하고 시간이 오래 걸리는 일을 우선적으로 하고 일상 업무는 그 후에 처리하는 방식으로 일을 하고 있다는 것입니다
NH농협은행,금융영업,237228,2.0,자신을 긍정적으로 변화를 시켜서 자신뿐만 아니라 주변의 사람들에게 긍정적인 변화를 전파한 사례를 소개하시오,모두가 유익한 시간을 위한 노력 경제학술 동아리 학습부장 시절 경제 상식 골든벨을 진행하며 구성원들의 적극적인 참여를 끌어낸 경험이 있습니다 아쉬운점 당시 경제 시사 토론에 소극적이던 동아리원들을 보며 이들이 적극적으로 참여할 수 있는 프로그램을 모색하였고 골든벨을 하기로 하였습니다 하지만 첫날에는 다들 제대로 공부를 안 해왔고 그저 시간만 보내려는 모습에 저는 크게 실망했습니다 그렇다고 좌절하고 있을 수는 없었기에 긍정적이고 열정적인 태도로 골든벨의 전체적인 구상과 더불어 세부적인 사항을 고민하며 준비하기 시작했습니다 첫째 교재를 반복해 읽으며 다양한 형태의 문제를 구성했습니다둘째 PPT에 부연 설명도 추가하여 본 목적인 지식 전달에 힘썼습니다셋째 대본을 작성하고 장기자랑을 통한 힌트 획득 무작위 선출 후 개인전 등 재밌게 진행하려 노력했습니다 단 시간을 위하여 매주 시간 가까이 준비했지만 회차를 거듭할수록 모두 열심히 준비하고 임해주는 모습에 정말 뿌듯했습니다 좋은점 이 경험을 통해 나부터 긍정적이고 열정적으로 임하면 주변 사람들도 자극을 받고 비슷하게 사고하고 행동함을 배웠습니다                        아쉬운점  질문에 맞게 결론을 제시해야 합니다 경제학술 동아리 학습부장 시절 행사에 대해 열정을 다하는 스스로의 변화를 통해 구성원들의 긍정적인 변화를 전파한 경험이 있습니다 와 같이 질문에 맞게 서두를 시작해야 합니다 좋은점  경험의 소재도 호감이 가고 내용도 질문의 의도에 맞게 잘 작성되어 있습니다
NH농협은행,금융영업,237228,2.0,귀하가 농협에 지원한 동기를 작성하고 그러한 지원동기를 바탕으로 입사 후농협에 어떻게 기여할 것인지 대하여 작성하시오,상생의 농협 농협은 신용업무만 하는 금융기관이 아닙니다농협은 우리나라의 농업을 지키고 농민의 실익증진을 위한 협동조합이라는 점에서 더욱 높은 가치를 추구한다고 생각합니다농민이 지속해서 농축업을 영위할 수 있도록 지원하고 부가가치는 국민과 나눔으로써 상생의 가치를 추구하는 기업이기에 지원하였습니다아쉬운점   실무형 인재 저는 군 간부 경력과 구매팀 근무 경력 아르바이트 경험을 통해 업무에 필요한 실무 역량을 키워왔고 다음과 같이 이바지하겠습니다 첫째 분석적 사고자동차 부품회사 구매팀에서 데이터를 추출가공하여 매입비 금형 투자비 인당 안전용품 지출비 등을 산출하는 업무를 했기에 신용사업에 필요한 분석적 사고를 함양할 수 있었습니다 둘째 고객 응대 능력학창시절 다년간 출장뷔페 아르바이트 하며 고객 만족에 힘썼습니다 고객과 진심 어린 소통을 통한 고객 니즈 충족에 자신 있습니다 셋째 꼼꼼함군 간부 시절 보급 업무를 담당하며 철저한 재고 관리 경험은 경제사업에서 두각을 보일 것입니다 이러한 역량을 바탕으로 농협에서도 자기 주도적인 실무형 인재로 거듭날 것을 약속드립니다아쉬운점  아쉬운점  지원동기가 특별하지 않습니다 많은 지원자들이 흔히 쓰는 형식적이고 거창한 내용이라는 것입니다 질문에 보면 입사 후 회사에 어떻게 기여할 것인지를 묻고 있고 그 바탕은 지원동기가 되어야 한다고 되어 있습니다 이 말은 지원동기를 직무 수행 관점에서 쓰라는 의미를 포함하고 있습니다 그래야 입사 후 기여 부분도 논리적으로 제시할 수 있기 때문입니다아쉬운점  직무 역량 기반으로 기여방안을 제시한 점은 좋습니다 하지만 제시한 각각의 내용이 그다지 호감을 주지 못하고 있다는 점이 아쉽습니다 지원자가 금융회사에 입사하기 위해 의도적으로 한 활동이 하나도 없다는 점도 아쉽습니다
NH농협은행,금융영업,237228,2.0,최근 우리 사회는 언택트 사회로 변화가 진행 중입니다 이와 관련하여 농협이 언택트 사회에서 능동적으로 성장할 수 있는농협의 디지털혁신 아이디어를 제안하시오,기존의 농축협 앱인 콕뱅크 플랫폼을 강화하여 디지털 혁신을 꾀할 수 있을 것입니다 많은 은행이 종이 없는 전차 창구시스템을 구축하였고 홍채 지문 정맥 등의 정보를 활용한 바이오인증 서비스를 운용 중이기도 합니다 최근에는 오픈뱅킹의 시행으로 금융업 내 경쟁은 점점 치열해지고 있습니다 농협도 이러한 사업들을 추진함과 더불어 비대면 업무 처리 향상을 위해 콕뱅크의 기능을 강화해야 한다고 생각합니다아쉬운점   콕뱅크에 기존의 예적금 대출 카드보험 가입뿐만 아니라 제신고 업무 기능도 탑재한다면 고객의 편의는 더욱 증진될 것입니다 특히 AI 기반 ARS 고객상담 서비스와 어르신들을 위해 콕뱅크에 영상 통화 기능을 넣어 시니어 전담 고객센터 등을 운용한다면 디지털 사각지대는 점차 줄어들 것입니다 경제사업에서는 외상약정서 체결 영농자재 발주 등의 기능도 콕뱅크로 간단하게 한다면 경제사업 활성화를 꾀할 수 있을 것입니다 마지막으로 콕뱅크 내 작목반 중심의 비대면 영농지도 및 전자 영농일지 작성 활성화로 농업인에게 실질적인 도움을 줄 수 있도록 교육을 강화한다면 더욱 신뢰받는 농협이 될 것입니다아쉬운점  아쉬운점  기본에 해당하는 이런 배경 설명은 굳이 쓸 필요가 없습니다 질문에 대한 핵심 답과 그 방안에 대해 구체적으로 제시하는 것이 더 호감을 줍니다아쉬운점  의견을 막무가내로 제시할 것이 아니라 하나를 제시하더라도 왜 이런 서비스가 필요하고 어떻게 실현 가능한지 회사의 현 상황에서 이 서비스가 어떤 도움을 줄 수 있는 지 등을 깊이 있게 설명하는 것이 중요합니다 
NH농협은행,금융영업,237109,2.0,귀하가 생각하는 직장인이 가져야 할 가장 필요한 지식이나 기술 또는 가치관을 작성하고 이와 관련한 본인의 경험을 근거로 서술하시오 ,직장인에게 가장 필요한 부분은 소통이라고 생각합니다 직장에서 발생하는 문제점 중 소통의 부재가 원인인 경우가 많아지고 있습니다 소통의 부재로 발생하는 구성원간의 갈등은 조직의 사기 저하와 업무생산성에 부정적인 영향을 미치게 될 것입니다 아쉬운점 저는 대학교 동아리 내에서 팀원 소통의 시간을 준비했던 경험이 있습니다 유익한 시간을 만들기 위해 팀원별 원하는 활동을 조사하였고 최종적으로 오페라와 토크 콘서트 관람이 선정되었습니다 차 활동 후 티타임을 가지면서 어려웠던 부분을 공유하고 적절한 대처방안을 모색하였습니다 그리고 의견 충돌이 있었던 경우는 대화를 통해 배려하고 상대방 입장에서 생각하게 되는 시간을 가지게 되었습니다 이러한 소통의 모습을 통해 화합하는 분위기를 만들 수 있었습니다 아쉬운점 농협 직원이 된다면 고객 및 동료들과 소통 문화를 정착시켜 최상의 행복 가치를 위해 최선을 다하는 행복 파트너가 되고자 합니다아쉬운점  아쉬운점  질문에서 지식 기술 가치관 중 하나를 쓰라고 했습니다 소통을 쓰려면 소통 기술이 적절한 답일 것입니다 아쉬운점  지원자의 경험을 제시한 점은 맞으나 이야기 소재와 내용이 크게 호감을 주지 못하고 있습니다 즉 쉽게 볼 수 있는 흔한 내용이라는 것입니다아쉬운점  형식적인 마무리는 특별히 도움이 되는 내용이 아닙니다
