기업명,산업분류,게시판번호,y,점수,질문,답변
SK하이닉스(주),반도체엔지니어,237527,0,2.0,자발적으로 최고 수준의 목표를 세우고 끈질기게 성취한 경험에 대해 서술해 주십시오 본인이 설정한 목표 목표의 수립 과정 처음에 생각했던 목표 달성 가능성 수행 과정에서 부딪힌 장애물 및 그 때의 감정생각 목표 달성을 위한 구체적 노력 실제 결과 경험의 진실성을 증명할 수 있는 근거가 잘 드러나도록 기술  단락,OOOOOOO에서 OOOO 및 OOOO공학을 전공하면서 대역학뿐만 아니라 심화과정인 열전달 응용유체역학 기계요소설계 과목을 이수하며 기계설비에 대한 이해와 전문지식을 갖췄습니다 기계시스템뿐만 아니라 현대사회의 모든 기술분야에 있어서 필수적인 요소인 전기시스템을 하나의 통합된 시스템으로 인식하여 제어하는 시스템동역학 시스템제어 과목에서 우수한 성적을 받으며 제어설계분야의 흥미로 이어질 수 있었고 실제 연구 및 개발현장에 소속되어 다양한 경험을 통해 부딛혀 보는 것이 중요하다고 판단하여 OOOOOOO OOOOOOO 및 OOOOOO에 지원하였습니다  한 학기동안 학부연구생으로 소속되어 IEEE에 게재된 Semiactive Magnetorheological Damper for High Aspect Ratio Boring Process 논문의 타당성을 뒷받침하는 진동제어실험을 맡아 실험에 필요한 지그 제작단계부터 실험을 통해 얻은 데이터를 MATLAB을 통해 분석하는 단계까지 전반적인 연구과정을 수행하였습니다 처음 맡은 연구과제이자 실험결과가 논문의 타당성을 뒷받침하는 자료로 쓰이는만큼 학업을 제외한 모든 시간을 연구실에서 보내며 책임감을 가지고 주어진 실험에 임하였습니다  하지만 반복적인 실험과정 속에서 예기치 못한 문제들이 발생하였고 해결하는 과정에서 경험이 부족한 저의 모습을 발견할 수 있었습니다 실험기기 측면에서 쇠막대기에 부착한 가속도 측정기의 오류를 발견하기까지 오랜시간이 걸렸지만 직접 전자실험기기 업체와 연락하여 문제를 해결한 후 실험을 이어갈 수 있었습니다 또한 경험이 많으신 교수님과 선배연구원들의 조언 덕분에 오실로스코프로부터 얻은 실험데이터들을 MATLAB을 활용하여 분석할 수 있었고 원하는 결과물을 얻을 수 있었습니다 무에서 유를 창조해 나가는 연구과정들은 끊임없는 도전의 연속이었고 부족한 부분들을 채워나가며 엔지니어로서 처음으로 성취감을 경험할 수 있었습니다아쉬운점  아쉬운점  전체적으로 다시 써야 합니다 이 항목은 목표를 세우고 이를 성취한 경험을 쓰는 항목이고 그 내용을 쓸 때 본인이 설정한 목표 목표의 수립 과정 처음에 생각했던 목표 달성 가능성 수행 과정에서 부딪힌 장애물 및 그 때의 감정생각 목표 달성을 위한 구체적 노력 실제 결과 를 모두 제시해야 하는데 이 두가지 모두 따르지 않았습니다 지원자가 쓴 내용에서 목표라는 단어가 단 한 번도 나오지 않습니다 
SK하이닉스(주),반도체엔지니어,237527,0,2.0,새로운 것을 접목하거나 남다른 아이디어를 통해 문제를 개선했던 경험에 대해 서술해 주십시오 기존 방식과 본인이 시도한 방식의 차이 새로운 시도를 하게 된 계기 새로운 시도를 했을 때의 주변 반응 새로운 시도를 위해 감수해야 했던 점 구체적인 실행 과정 및 결과 경험의 진실성을 증명할 수 있는 근거가 잘 드러나도록 기술  단락,대학교 학년 시절은 대학원 진학과 학사 졸업 후 취업이라는 진로의 문제에 대해 고민이 많았던 시기였습니다 저는 회사에서 직접 인턴생활을 해보는 것이 현실적인 고민해결의 방법이라 생각하여 OOOOOOO의 산학장학생 프로그램인 OOOOOO 기에 지원했습니다 박 일동안 진행되었던 차면접에서 그룹별로 팀원들과 협동하여 시간내에 주어진 문제를 해결해야만 했던 그룹면접이 가장 기억에남습니다 그룹면접의 과제는 주어진 조건 하에서 쇠구슬을 높은곳에서 낮은곳으로 보내기 위한 구조물을 만드는 것이였습니다 저는 긴 빨대와 짧은 빨대를 이용해서 구조물의 뼈대를 만드는 역할을 맡게되었고 순차적으로 만들어 나가기 시작했습니다  하지만 진행 도중 짧은 빨대가 구조물을 완성시키는데 부족하다는 사실을 알게되었습니다 마감 시간은 다가오고 새로운 구조물을 다시 만들기에는 시간이 턱없이 부족했습니다 그 순간 저는 가위를 이용하여 긴 빨대를 잘라 짧은 빨대로 사용해야겠다는 생각을 하게되었고 고민할 틈도 없이 실행에 옮겼습니다  그 모습을 지켜보시던 면접관 한분이 제게 다가와 구조물 세트는 다음에 사용하는 사람들이 있을텐데 잘라도 되는 것인지에 대해 물어보셨습니다 긴 빨대가 짧은 빨대에 비해 배 이상 많기 때문에 다음 사람들이 구조물을 만드는데 있어서 지장이 가지 않을 것이라고 판단하였고 이 점에 대해 면접관님께 설명드리고 구조물을 완성시켜 나갔습니다 짧은 빨대가 부족하다는 이유로 구조물을 완성시키지 못했더라면 결과적으로 핑계와 변명에 불과하다고 생각했습니다 자칫 저의 행동으로 팀원들에게 피해가 갈 수도 있었다고 생각합니다  하지만 주어진 목표를 달성하기 위한 최선의 선택이었고 저의 생각이 옳다고 확신하여 행동으로 옮길 수 있었습니다 결과적으로 저희 팀은 주어진 구조물을 완성할 수 있었고 그룹면접에서 좋은 점수를 받아 OOOOOO 기에 선발될 수 있었습니다 그 후 인턴 공모전 등 다양한 활동에 참여하여 저의 진로를 결정하는데 큰 도움을 받을 수 있었습니다아쉬운점  아쉬운점  전체적으로 다시 써야 합니다 이 항목은 다른 방식이나 아이디어로 문제를 개선한 경험을 쓰는 항목이지만 그 상황은 기존 방식을 거부하고 새로운 방식을 제시하는 상황이어야 합니다 현재 내용은 그 상황이 아니라 단순한 문제 해결 과정에 대한 내용입니다 그리고 그 내용을 쓸 때 기존 방식과 본인이 시도한 방식의 차이 새로운 시도를 하게 된 계기 새로운 시도를 했을 때의 주변 반응 새로운 시도를 위해 감수해야 했던 점 구체적인 실행 과정 및 결과를 모두 제시해야 하는데 이를 따르지 않았습니다 
SK하이닉스(주),반도체엔지니어,237527,0,2.0,지원 분야와 관련하여 특정 영역의 전문성을 키우기 위해 꾸준히 노력한 경험에 대해 서술해 주십시오 전문성의 구체적 영역예 통계 분석 전문성을 높이기 위한 학습 과정 전문성 획득을 위해 투입한 시간 및 방법 습득한 지식 및 기술을 실전적으로 적용해 본 사례 전문성을 객관적으로 확인한 경험 전문성 향상을 위해 교류하고 있는 네트워크 경험의 진실성을 증명할 수 있는 근거가 잘 드러나도록 기술  단락,기계엔지니어로서 저의 강점은 기계공학뿐만 아니라 반도체를 포함하여 전기 및 전자공학 분야를 아우르는 융합적인 지식을 갖추었다는 점입니다 전기시스템에 대한 이해는 대학교를 졸업하고 사회에 나가 다양한 분야의 전문가들과 협업하여 프로젝트를 수행하는데 많은 도움이 될 것이라고 판단했습니다 전자기학 회로이론 전자회로 등 전기 및 전자공학 분야의 필수적인 과목들을 추가로 이수하며 전기시스템에 대한 이론을 다졌고 디지털시스템실험 과목을 통해 다양한 전자실험기기를 활용하여 다양한 실험을 수행할 수 있었습니다  또한 MEMS 과목을 이수하며 기본적인 반도체 공정과정뿐만 아니라 앞으로 반도체 산업의 미래 차세대 나노기술들에 대해 집중적으로 배울 수 있었습니다 남들보다 많은 시간과 노력을 들여 다양한 분야의 과목들을 이수한 덕분에 융합적인 지식을 갖춘 인재로 평가받을 수 있었고 다양한 연구 및 개발 현장에서 인턴 기회를 부여받을 수 있었습니다  OOOOOOO의 OOOOOOOOO팀 OO파트에 소속되어 고객사로부터 의뢰받은 제품의 도면을 재차 D모델링하는 업무를 수행하였습니다 CATIA프로그램을 활용하여 개인프로젝트로 진행했던 드론의 D모형 제작 및 시뮬레이션 경험을 바탕으로 ANSYS프로그램을 수월하게 배울 수 있었고 개발현장에 빠르게 접목시킬 수 있었습니다 또한 실제 제품이 생산되는 공장을 오가며 제품 수율에 영향을 미치는 설비적 기계적 요인을 분석하는 업무를 수행하였습니다  회로파트 광학파트와 협력하여 불량문제를 해결해 나가는 과정 속에서 기계분야 뿐만아니라 전기 및 전자분야에 대한 이해 덕분에 원활한 의사소통이 가능했다고 생각합니다 제조업 분야에서 단기간 내에 제품을 생산하여 납품해야 하는 일련의 개발 과정을 경험하며 기계엔지니어로서 한 단계 성장할 수 있었고 저의 강점을 확인할 수 있었습니다 융합적인 지식과 경험을 바탕으로 전세계 반도체 시장을 이끌어가고 있는 SK하이닉스에 입사하여 양산기술직무의 전문가로 성장해 나갈 것입니다아쉬운점  아쉬운점  전체적으로 다시 써야 합니다 이 항목은 지원자가 해당 분야 지식을 쌓기 위해 어떤 노력을 했는지를 쓰는 항목이 아니라 설계 분석 등 구체적인 영역을 정하고 해당 영역에서 어떤 노력을 했는지를 쓰는 항목입니다 본 내용은 구체적인 영역에 대한 내용이 아닙니다 또한 내용을 쓸 때 전문성의 구체적 영역예 통계 분석 전문성을 높이기 위한 학습 과정 전문성 획득을 위해 투입한 시간 및 방법 습득한 지식 및 기술을 실전적으로 적용해 본 사례 전문성을 객관적으로 확인한 경험 전문성 향상을 위해 교류하고 있는 네트워크를 모두 제시해야 하는데 이 요구조건에 맞게 작성하지 않았습니다
SK하이닉스(주),반도체엔지니어,237527,0,2.0,혼자 하기 어려운 일에서 다양한 자원 활용 타인의 협력을 최대한으로 이끌어 내며 Teamwork를 발휘하여 공동의 목표 달성에 기여한 경험에 대해 서술해 주십시오 관련된 사람들의 관계예 친구 직장 동료 및 역할 혼자 하기 어렵다고 판단한 이유 목표 설정 과정 자원예 사람 자료 등 활용 계획 및 행동 구성원들의 참여도 및 의견 차이 그에 대한 대응 및 협조를 이끌어 내기 위한 구체적 행동 목표 달성 정도 및 본인의 기여도 경험의 진실성을 증명할 수 있는 근거가 잘 드러나도록 기술  단락,OOOOOOO 내 OO동아리인 OOOOO에 소속되어 학번을 대표하는 기장으로서 년간 활동했습니다 가장 기억에 남는 일은 OOOOOOOOO과의 OO교류전입니다 당시 OOOOOOOOO은 처음 개교하여 신입생들만 재학중인 신생기술원으로써 교류의 장이 충분히 형성되지 않았지만 OO교류전에 대해 양 측 모두 긍정적으로 받아드리면서 추진하게 되었습니다  하지만 OO교류전을 치르기까지의 과정은 생각보다 쉽지 않았습니다 OO 경기를 위한 명 정도의 인원 운동장대관 교통수단 등 혼자의 힘으로 헤쳐나가기에 어려움이 있다는 사실을 깨달았습니다 특히 대학생의 신분이였기에 금전적인 지원 없이는 축구교류전을 진행하기 어려웠습니다 다행히 OOOOOOOOO 측으로부터 OO교류전에 필요한 버스대절비용 및 친목에 필요한 다과비를 학교로부터 지원받을 수 있다는 소식을 접하면서 계획했던 OO교류전을 추진해 나갈 수 있었습니다 저희 측에서도 대운동장 대관 및 체육관 샤워시설 사용 등 OO교류전을 치르기 위한 계획을 세웠습니다 우선 학교측에 도움을 받기 위해 OO교류전 관련 계획서를 제출하였습니다  하지만 학교측으로부터 대운동장과 체육관은 학교의 소유가 아닌 교내시설관리 업체의 소유였기에 주말 낮시간에 무료로 사용하는 것은 힘들다는 답변을 받았습니다 또한 발생되는 비용은 학생회 측에 문의해보면 될 것이라는 답변을 받았습니다 다행히 동아리 내에 학생회에 소속된 선배의 도움을 받아 관련 정보를 얻을 수 있었고 OO교류전 관련한 비용을 지원받을 수 있었습니다 OO교류전을 개최하기까지 모든 과정들은 저 혼자의 힘으로는 해낼 수 없었을 것입니다 양측의 학생들이 OO교류전을 간절히 원했고 학교 및 학생회로부터의 지원을 받기 위한 노력이 있었기에 가능했다고 생각합니다 OO교류전은 예정된 날짜에 좋은 날씨 속에서 치를 수 있었고 이를 계기로 매년 OO를 비롯한 다양한 스포츠 뿐만아니라 학문적인 부분에서 교류의 장을 형성하게 된 계기가 될 수 있었습니다아쉬운점  아쉬운점  전체적으로 다시 써야 합니다 이 항목은 주변의 자원을 활용한 사례를 쓰는 항목이고 세세하게 요구한 조건으로 보아 그 자원은 사람이 되어야 합니다 지원자가 제시한 이야기 소재는 질문에 잘 맞는 소재인데 내용은 질문의 주제와 맞지 않습니다 자원 활용에 초점을 맞추지 않고 업무 수행과정에 초점을 맞춰 썼습니다 또한 내용을 쓸 때 관련된 사람들의 관계예 친구 직장 동료 및 역할 혼자 하기 어렵다고 판단한 이유 목표 설정 과정 자원예 사람 자료 등 활용 계획 및 행동 구성원들의 참여도 및 의견 차이 그에 대한 대응 및 협조를 이끌어 내기 위한 구체적 행동 목표 달성 정도 및 본인의 기여도를 모두 제시해야 하는데 이 요구조건에 맞게 작성하지 않았습니다
SK하이닉스(주),반도체엔지니어,236747,1,4.0,혼자 하기 어려운 일에서 다양한 자원 활용 타인의 협력을 최대한으로 이끌어 내며 Teamwork를 발휘하여 공동의 목표 달성에 기여한 경험에 대해 서술해 주십시오  관련된 사람들의 관계예 친구 직장 동료 및 역할 혼자 하기 어렵다고 판단한 이유 목표 설정 과정 자원예 사람 자료 등 활용 계획 및 행동 구성원들의 참여도 및 의견 차이 그에 대한 대응 및 협조를 이끌어 내기 위한 구체적 행동 목표 달성 정도 및 본인의 기여도 경험의 진실성을 증명할 수 있는 근거가 잘 드러나도록 기술 ,인 조로 OOOOO 강좌 스터디 활동을 두 학기 동안 하였습니다 학기는 반도체소자 강의로 주차 강의와 퀴즈 이수율  달성이 목표였습니다 교양이 아닌 전공 강의였기에 투자되는 시간이 많았습니다 따라서 시험기간을 포함한 학기 중에 혼자 강의를 소화하는 것은 무리였습니다 결과적으로 팀 활동의 장점인 인력과 다양한 개인역량을 활용하여 목표 이상의 성과를 달성했습니다 교과과정이 아니며 굳이 듣지 않아도 되는 강의이기에 동력을 찾는 것이 중요하다고 판단했습니다 저희 팀은 과 동기 명으로 이루어져 편안한 관계인 것이 단점이자 장점이었습니다 저는 팀장을 고정하지 않고 주마다 번갈아 맡아 각 주의 활동을 책임지자고 제안했습니다 수평적 관계를 활용함으로써 부담되지 않는 선에서 의무감을 동력으로 삼았습니다 또한 최소 시간으로 강의 이해를 위해 역할을 분담했습니다 강의 초반에는 결정학 재료과학과 내용이 겹치어 수월했습니다 따라서 각자 강의를 듣고 토의형식으로 진행하였습니다 그러나 후반부에는 급격한 난이도 상승으로 혼자 강좌 전체를 이해하기 부담스러웠습니다 또한 시험으로 소홀해지는 팀원이 생겼습니다 이에 시험기간에 활동을 중단하자 계속 진행하자는 의견으로 나뉘었습니다 합의한 결론은 선 암기 후 이해로 활동 방식을 바꾸는 것이었습니다 주의 리더가 전체적인 내용을 파악하고 분배하면 각자 결론만 암기합니다 그리고 나머지 팀원이 맡은 파트만의 유도해석풀이를 이해하고 정리합니다 이후 활동시간에 각 파트를 발표하여 팀원 모두가 전체 내용을 파악했습니다좋은점   결과적으로 학기 중임에도 팀원 전원 이수율 와 그룹활동 우수상을 달성했습니다 혼자보다 여럿이 협력할 때 높은 성과를 낸다는 것을 체감했습니다 팀원 모두 만족하는 Teamwork와 결과를 얻었습니다 이에 만장일치로 다음 학기 활동도 신청했습니다 그 후 고체역학 강의로 그룹활동 최우수상을 받아 공동 목표를 달성했습니다아쉬운점  좋은점  질문의 요구 사항에 맞춰 잘 작성했습니다아쉬운점  목표달성 정도 및 본인의 기여도를 쓰라고 했는데 본인의 기여도가 빠졌다는 점이 아쉽습니다
SK하이닉스(주),반도체엔지니어,236747,1,4.0,새로운 것을 접목하거나 남다른 아이디어를 통해 문제를 개선했던 경험에 대해 서술해 주십시오 ,OOOOOOOOO에서 개월 간 연수 진행 아르바이트를 하였습니다 이 때 시스템 개선으로 기존 마감 시간이었던 분을 분으로 단축시킨 경험이 있습니다 OOOO 보수 교육을 주일간 진행하였고 보건키트 반납 및 출석 서명을 완료해야 종료되는 시스템이었습니다 이 과정에서 시간이 지나치게 소요된다고 판단한 저는 국장님께 시스템 방식을 바꾸는 것을 제안 드렸습니다 좋은점   기존 방식대로 출석 서명과 반납을 양쪽 방향에서 진행하지 말고 한 줄을 서서 컨테이너 벨트처럼 순차적으로 출석 서명 후 반납을 진행해보자는 의견이었습니다 또한 기존에 보건 키트를 받아서 직원들이 정리하던 것을 교사 분들이 직접 반납함에 넣도록 유도하자는 것이었습니다 국장님께서는 양 방향에서 진행하던 것을 한 줄로만 진행하면 더 느려지지 않겠냐며 원래의 방식을 고수하자는 의견이셨습니다 직원 분들도 번거롭다는 분위기였습니다 어디 한 번 해보라며 허락을 해주셨고 제시한 의견대로 진행하자 기존에 분에 걸리던 마감이 분 만에 정리되었습니다 직원 분들과 국장님께서도 놀라시며 조기 퇴근이라며 좋아하셨습니다  그 날 이후 국장님께서는 다음 주차의 새로운 연수 진행 총괄 중 하나를 저에게 맡기시며 신뢰를 주셨고 직원 분들께서도 다른 업무에서도 바꿀 수 있는 게 없겠냐며 수동적인 분위기가 변화했습니다 저는 이 일을 계기로 단순한 문제 해결 방식도 효율적인 방법이 될 수 있으며 문제 해결을 위해서는 적극적인 자세가 필요하다는 것을 알게 되었습니다좋은점  좋은점  배경 설명에 대한 부분입니다 쉽게 이해되도록 잘 설명했습니다좋은점  질문에서 요구한 다양한 요구 조건을 제대로 반영했다는 점이 좋습니다 
SK하이닉스(주),반도체엔지니어,236747,1,4.0,자발적으로 최고 수준의 목표를 세우고 끈질기게 성취한 경험에 대해 서술해 주십시오 ,현재 랩실에서 반도체 패키지 공정 개발물성 평가 를 경험했습니다 처음 현장실습을 시작하며 세운 목표는 최단기간에 구성원으로써 인정을 받는 것이었습니다 제가 생각하는 구성원은 능력과 책임을 가지고 팀의 성과에 기여하는 사람입니다 교수님께서는 학부생 자격으로는 실험 보조업무가 최선이라고 말씀하셨습니다 그러나 저는 단순 실습에서 만족하지 않고 핵심 조직구성원이 되고 싶었습니다 따라서 주어진 Order 그 이상을 해내기 위해 노력했습니다좋은점   우선 부가 설명 없이 연구 대화를 이해하고자 했습니다 Weekly 혹은 실험 중 모르는 용어가 들린다면 메모한 뒤 꼭 찾아보거나 따로 여쭤보았습니다 이를 반복하니 전체적인 업무 흐름과 프로젝트 내용을 빠르게 이해할 수 있었습니다이후 전공역량을 키웠습니다 알려주신 내용만 배우려 하지 않고 자발적 추가 학습을 하였습니다 예시로 Reflow 공정장비 사용법을 배웠다면 Reflow Profile에 따른 불량 발생 Factor를 능동적으로 공부했습니다 그리고 이를 매주 Weekly Report에 포함하여 발표함으로써 교수님께 신임을 얻었습니다 이러한 신임을 바탕으로 장비 조작 기회를 더 많이 빠르게 가졌습니다 그 결과 주차 만에 SMT 공정장비 SEM 전단시험기를 포함한 개의 핵심 장비를 단독으로 사용할 수 있었습니다 이후 주어진 업무에 책임감을 가지고 말씀하신 것을 놓치지 않고 해결하는 자세를 보였습니다 교수님께서는 Follow up 하는 자세가 좋다며 칭찬하셨습니다 결과적으로 현재 특정 프로젝트의 주 연구자로써 랩의 성과에 이바지하는 팀원이 되었습니다 이후 자발적 목표 설정과 역량강화로 업무를 책임지는 사람이 되고자 결심했습니다 이 경험을 토대로 SK 하이닉스에서 VWBE하여 SUPEX를 추구하는 인재가 되겠습니다좋은점  좋은점  직무와 직접적으로 연관이 있는 경험을 제시한 점이 좋고 관련분야의 지식과 실력을 인정받는 목표였다는 점도 좋습니다좋은점  질문의 요구에 맞게 잘 작성하였고 직무와 직접적으로 연관이 있는 지식과 경험을 쌓은 내용이라는 점도 좋습니다 어떤 역량을 쌓았는지 구체적으로 제시한 점도 좋습니다
SK하이닉스(주),반도체엔지니어,236747,1,4.0,지원 분야와 관련하여 특정 영역의 전문성을 키우기 위해 꾸준히 노력한 경험에 대해 서술해 주십시오 ,전반적인 반도체공정을 공부하며 특히 후공정에서 전문성을 키웠습니다 올해 월부터 랩실에서 학부연구생으로 반도체 패키지 공정개발물성평가를 수행했습니다 항상 Time Yield Standard을 토대로 공정 면에서 가치 있는 Data를 뽑았습니다좋은점    반도체공정및장비개론 반도체공정 반도체공학을 수강하며 전공정을 이해했습니다 반도체공정실습으로 DC Sputtering을 포함한 개 전공정을 실습했습니다 이후 전자패키지재료를 수강하며 후공정 Process와 패키지 소재기술을 학습했습니다 이어서 랩실에서 패키징 공정을 경험했습니다 특히 nd level SMT 공정으로 Screen Printing Mounting Reflow UF Dispensing Curing을 진행했습니다 주 목표는 Time 감소 Yield 향상을 통한 고품질 Sample 대량생산이었습니다 따라서 SMT 공정 단순화에 주력했습니다 예시로 Fail Sample의 Issue가 잔여 Flux임을 파악해 세척 단계를 추가했습니다 이에 추가된 Time은 UF양과 Curing Time 감소로 조절하여 목표를 달성했습니다   재료과학 재료역학 전자재료물성을 수강하며 반도체 기반 물질에 대해 이해했습니다 이후  패키지 Test를 경험했습니다 이 과정에서 Diffusion Phase Diagram 전공지식을 공학 관점에서 적용했습니다   반도체전자재료 접합 후    h에서 HTS 신뢰성 시험을 진행했습니다 이후 기계적전기적 특성을 평가했습니다아쉬운점  좋은점  질문을 제대로 이해하고 쓴 내용입니다 특정 영역을 잘 제시했습니다아쉬운점  호감을 주는 내용이지만 질문의 요구 사항을 제대로 따르지 않았습니다 자신이 했던 활동을 단순히 설명하며 정리했다는 것입니다 예를들어 질문에서 전문성 향상을 위해 교류하고 있는 네트워크를 쓰라고 했는데 그에 대한 내용이 없습니다
SK하이닉스(주),반도체엔지니어,235390,1,4.0,자발적으로 최고 수준의 목표를 세우고 끈질기게 성취한 경험에 대해 서술해 주십시오  본인이 설정한 목표 목표의 수립 과정 처음에 생각했던 목표 달성 가능성 수행 과정에서 부딪힌 장애물 및 그 때의 감정생각 목표 달성을 위한 구체적 노력 실제 결과 경험의 진실성을 증명할 수 있는 근거가 잘 드러나도록 기술   단락  해당 채용사이트 자기소개서에서 줄바꿈엔터을 할 경우 글자로 계산되어 자소설닷컴의 와 차이가 발생합니다 이를 참고하여 자기소개서를 작성해주시길 바랍니다,졸업작품을 시작했을 때 그동안 전공 공부한 것을 정리하고 실제 설계로 구현 능력을 보여주는 것이 졸업작품이기 때문에 어려운 주제를 잡더라도 전공 내용을 최대한 많이 활용하여 A 학점을 받는 것으로 목표를 잡았습니다아쉬운점  저희가 제작한 작품은 가속도 센서로 횡 방향 기울임을 피드백 받아 모터를 회전시켜 균형을 유지하는 자세 유지 로봇이었는데 처음 주제를 발표했을 땐 학부생 수준에서 어려운 주제를 잡았다는 평가를 받았습니다 또 팀원은 의전원 시험 준비로 바빴고 저의 프로젝트 수행 경험도 부족했기 때문에 최초에 달성 가능성은  정도로 생각했습니다좋은점  처음 제작을 계획했을 땐 상대적으로 시간 여유가 있던 제가 부품 선정부터 실제 설계까지 많은 부분을 담당하려 했습니다 그러나 혼자 모든 것을 다 하려다 보니 모터 스펙을 잘못 이해해서 잘못된 모터를 구매하는 문제가 발생했습니다 이것은 제가 평소에 모터를 직접 구매해본 경험이 없어서 모터의 사양을 신중히 살펴보지 않았던 것과 잘못을 바로잡아줄 팀원과의 협업을 소홀히 했던 것이 원인이었습니다부품 선정에서의 실수를 거울삼아 제어기 설계에는 더욱 신중함을 더하고 팀원과의 협업을 끌어냈습니다 기본적인 PID 제어 Root Locus Bode Plot 개념부터 다시 복습하고 확실한 검증을 위해 많은 시간을 투자하여 시뮬레이션하는 과정을 거쳤습니다 또한 팀원과 역할에 대한 분배를 다시 하여 저는 제어 알고리즘에 집중했고 작품에 관련된 학술 논문을 선정해서 공부한 내용을 세미나 형식으로 공유하며 모르는 부분이 생기면 함께 해결해나갔습니다좋은점  그 결과 시간 내에 작품 구현에 성공하여 무사히 작품을 발표할 수 있었습니다 발표는 제작 과정에서 이론 공부를 많이 한 덕에 자료도 잘 만들었고 교수님의 질문에도 잘 대답해서 큰 어려움 없었습니다 결국에는 팀 전체가 원하던 A 학점을 받을 수 있었습니다아쉬운점  아쉬운점  단순히 생각하면 A학점이 최고 수준의 목표로 볼 수 있습니다 하지만 그것만 쓰기 보다는 지원자가 참여한 이 수업에서 A학점을 받는 것이 정말 어려운 일이라는 것을 추가로 설명해 준다면 이 목표가 정말 최고 수준의 목표라는 느낌이 들 것입니다 좋은점  질문의 요구 사항에 맞게 작성한 점이 좋습니다 다만 달성 가능성이 라면 최고 수준의 목표로 보기에 약한 면이 있습니다 즉 달성 가능성이 낮으면 낮을수록 최고 수준의 목표가 된다는 것입니다좋은점  질문의 요구 사항에 맞게 당시 문제와 해결 과정을 구체적으로 잘 정리했다는 점이 좋습니다아쉬운점  특별히 문제가 있는 것은 아닙니다 이 부분에서 이 활동을 통해 배운 지식이나 전문성을 추가로 강조했다면 더 좋았을 것입니다
SK하이닉스(주),반도체엔지니어,235390,1,4.0,새로운 것을 접목하거나 남다른 아이디어를 통해 문제를 개선했던 경험에 대해 서술해 주십시오  기존 방식과 본인이 시도한 방식의 차이 새로운 시도를 하게 된 계기 새로운 시도를 했을 때의 주변 반응 새로운 시도를 위해 감수해야 했던 점 구체적인 실행 과정 및 결과 경험의 진실성을 증명할 수 있는 근거가 잘 드러나도록 기술   단락 ,자동차 부품사 인턴으로 근무했을 때 저의 주된 업무 중 하나는 고객사 사양구조 중 하나인 State Chart를 transition 단위로 decomposition 하는 업무였습니다 이 과정은 고객 요구사항으로부터 시스템 요구사항을 작성하고 테스트 케이스를 만드는 데 반드시 필요한 과정이었지만 State Chart가 복잡하면 손수 작업해야 하는 부분이 많아져서 시간이 오래 걸리는 업무였습니다좋은점  이미 부서 내에서 사용하고 있던 VBA 툴이 있었지만 State Chart에서 텍스트만 일일이 복사 붙여넣기를 해야 하고 decomposition만을 위한 문서의 양식을 따로 지정해줘야 하는 불편함이 있었습니다 손수 작업하는 부분이 많아지다 보니 실수로 사양을 놓치거나 오타가 발생하는 문제가 있었고 특히 진단 사양에서 실수가 생기면 제품 개발 일정에도 차질을 줬기 때문에 손수 작업하는 부분을 최대한 줄이고자 툴 개선을 시도하게 되었습니다좋은점  기존 툴의 소스코드를 검토한 결과 코드의 가독성이 매우 떨어지고 같은 함수가 중복으로 정의되어 있는 등 최적화가 되어 있지 않아 기능도 떨어지고 유지보수도 어려울 것으로 판단하여 기존 툴에서 State Chart를 읽어오는 부분을 완전히 새로 쓰기로 했습니다그러나 VBA를 기존에 접해보지 않았기 때문에 근무시간 외에 따로 인터넷 강의를 듣거나 전문 서적을 읽는 노력을 해야 했습니다 특히 State Chart가 Visio라는 다소 생소한 유틸리티로 작성돼있었기 때문에 Visio에 관련해선 개발자 커뮤니티를 이용해야 했습니다이러한 노력 끝에 기존에는 직접 양식에 맞게 문서 수정  직접 State Chart 내 텍스트 복사 붙여넣기  decomposition의 단계를 거쳐 수십 분의 시간이 필요했지만 개선된 툴을 이용하면 한 번의 클릭으로 모든 단계가 수분 이내로 완료됐습니다아쉬운점  좋은점  당시 상황에 대한 설명이 쉽게 잘 정리되어 있습니다좋은점  새로운 시도의 계기를 잘 설명하고 있습니다 아쉬운점  번 항목에서 보여준 질문에 제대로 대응하던 모습이 이 부분에서는 보이지 않는다는 점이 아쉽습니다 즉 주변 반응 감수해야 했던 점을 쓰지 않았습니다 이 회사의 자기소개서는 무엇보다도 상세 요구 사항을 제대로 작성하는 것이 중요하다는 것을 잊으면 안됩니다
