,name,field,grade,url
237371,(주)유니드글로벌상사,해외영업·무역영업,2,https://www.jobkorea.co.kr/starter/PassAssay/View/237371
237354,(주)경동나비엔,영업관리·지원·영업기획,2,https://www.jobkorea.co.kr/starter/PassAssay/View/237354
237379,(주)이랜드건설,시공·현장·감리·공무,3,https://www.jobkorea.co.kr/starter/PassAssay/View/237379
237358,(주)이랜드리테일,제품·서비스영업,3,https://www.jobkorea.co.kr/starter/PassAssay/View/237358
237378,(주)넥슨네트웍스,인사·노무·교육,3,https://www.jobkorea.co.kr/starter/PassAssay/View/237378
237355,(주)포스코모빌리티솔루션,영업관리·지원·영업기획,2,https://www.jobkorea.co.kr/starter/PassAssay/View/237355
237366,(주)부산롯데호텔,인사·노무·교육,2,https://www.jobkorea.co.kr/starter/PassAssay/View/237366
237356,국가철도공단,전기·소방·통신·안전,3,https://www.jobkorea.co.kr/starter/PassAssay/View/237356
237388,㈜호반건설,시공·현장·감리·공무,3,https://www.jobkorea.co.kr/starter/PassAssay/View/237388
237390,코오롱글로벌,시공·현장·감리·공무,4,https://www.jobkorea.co.kr/starter/PassAssay/View/237390
237393,현대엔지니어링(주),시공·현장·감리·공무,3,https://www.jobkorea.co.kr/starter/PassAssay/View/237393
237461,한국철도공사,전기·전자·제어,2,https://www.jobkorea.co.kr/starter/PassAssay/View/237461
237464,(주)한독,생산관리·공정관리·품질관리,3,https://www.jobkorea.co.kr/starter/PassAssay/View/237464
237466,국립공원공단,전기·전자·제어,2,https://www.jobkorea.co.kr/starter/PassAssay/View/237466
237467,한국남동발전(주),전기·전자·제어,4,https://www.jobkorea.co.kr/starter/PassAssay/View/237467
237468,한국가스공사,전기·전자·제어,3,https://www.jobkorea.co.kr/starter/PassAssay/View/237468
237469,(주)한국가스기술공사,전기·전자·제어,2,https://www.jobkorea.co.kr/starter/PassAssay/View/237469
237474,(주)카카오,응용프로그래머,3,https://www.jobkorea.co.kr/starter/PassAssay/View/237474
237475,웹케시(주),웹프로그래머,3,https://www.jobkorea.co.kr/starter/PassAssay/View/237475
237478,네이버(주),응용프로그래머,3,https://www.jobkorea.co.kr/starter/PassAssay/View/237478
237491,스태츠칩팩코리아,반도체·디스플레이,3,https://www.jobkorea.co.kr/starter/PassAssay/View/237491
237494,건국대학교병원,간호사,4,https://www.jobkorea.co.kr/starter/PassAssay/View/237494
237496,삼성서울병원,간호사,2,https://www.jobkorea.co.kr/starter/PassAssay/View/237496
237506,(주)네패스,생산관리·공정관리·품질관리,4,https://www.jobkorea.co.kr/starter/PassAssay/View/237506
237508,NH농협은행,금융·보험영업,2,https://www.jobkorea.co.kr/starter/PassAssay/View/237508
237511,㈜티맥스소프트,QA·테스터·검증,2,https://www.jobkorea.co.kr/starter/PassAssay/View/237511
237521,SK브로드밴드(주),재무·세무·IR,3,https://www.jobkorea.co.kr/starter/PassAssay/View/237521
237522,CJ제일제당(주),경리·회계·결산,3,https://www.jobkorea.co.kr/starter/PassAssay/View/237522
237523,현대백화점,재무·세무·IR,3,https://www.jobkorea.co.kr/starter/PassAssay/View/237523
237524,현대중공업,경리·회계·결산,4,https://www.jobkorea.co.kr/starter/PassAssay/View/237524
237527,SK하이닉스(주),반도체·디스플레이,2,https://www.jobkorea.co.kr/starter/PassAssay/View/237527
237537,엘지디스플레이,마케팅·광고·분석,3,https://www.jobkorea.co.kr/starter/PassAssay/View/237537
237541,엘지디스플레이,반도체·디스플레이,4,https://www.jobkorea.co.kr/starter/PassAssay/View/237541
237544,매일경제신문사,사무·총무·법무,2,https://www.jobkorea.co.kr/starter/PassAssay/View/237544
237549,한국동서발전(주),전기·소방·통신·안전,3,https://www.jobkorea.co.kr/starter/PassAssay/View/237549
237553,대화제약(주),사무·총무·법무,2,https://www.jobkorea.co.kr/starter/PassAssay/View/237553
237302,일동홀딩스,제품·서비스영업,2,https://www.jobkorea.co.kr/starter/PassAssay/View/237302
237140,세아상역,해외영업·무역영업,2,https://www.jobkorea.co.kr/starter/PassAssay/View/237140
237141,중소기업은행,금융·보험영업,3,https://www.jobkorea.co.kr/starter/PassAssay/View/237141
237142,SK브로드밴드(주),재무·세무·IR,4,https://www.jobkorea.co.kr/starter/PassAssay/View/237142
237144,농업정책보험금융원,기획·전략·경영,4,https://www.jobkorea.co.kr/starter/PassAssay/View/237144
237146,한국주택금융공사,기획·전략·경영,4,https://www.jobkorea.co.kr/starter/PassAssay/View/237146
237153,JTBC,웹프로그래머,2,https://www.jobkorea.co.kr/starter/PassAssay/View/237153
237159,삼성전자(주),생산관리·공정관리·품질관리,3,https://www.jobkorea.co.kr/starter/PassAssay/View/237159
237166,오뚜기라면(주),생산관리·공정관리·품질관리,3,https://www.jobkorea.co.kr/starter/PassAssay/View/237166
237173,(주)오뚜기,생산관리·공정관리·품질관리,3,https://www.jobkorea.co.kr/starter/PassAssay/View/237173
237177,서울도시가스(주),시설·보안·경비·안전,3,https://www.jobkorea.co.kr/starter/PassAssay/View/237177
237183,SK이노베이션(주),생산관리·공정관리·품질관리,2,https://www.jobkorea.co.kr/starter/PassAssay/View/237183
237291,(주)LG화학,화학·에너지·환경,3,https://www.jobkorea.co.kr/starter/PassAssay/View/237291
237293,CJ제일제당(주),화학·에너지·환경,3,https://www.jobkorea.co.kr/starter/PassAssay/View/237293
237194,삼성전기(주),전기·전자·제어,2,https://www.jobkorea.co.kr/starter/PassAssay/View/237194
237195,한국방송공사,네트워크·서버·보안,3,https://www.jobkorea.co.kr/starter/PassAssay/View/237195
237200,한국지역난방공사,전기·소방·통신·안전,4,https://www.jobkorea.co.kr/starter/PassAssay/View/237200
237201,삼성디스플레이(주),반도체·디스플레이,4,https://www.jobkorea.co.kr/starter/PassAssay/View/237201
237219,삼성에스디에스,응용프로그래머,3,https://www.jobkorea.co.kr/starter/PassAssay/View/237219
237225,GS리테일,상품기획·MD,2,https://www.jobkorea.co.kr/starter/PassAssay/View/237225
237227,㈜LX하우시스,생산관리·공정관리·품질관리,2,https://www.jobkorea.co.kr/starter/PassAssay/View/237227
237228,NH농협은행,금융·보험영업,2,https://www.jobkorea.co.kr/starter/PassAssay/View/237228
237232,롯데글로벌로지스(주),유통·물류·재고,2,https://www.jobkorea.co.kr/starter/PassAssay/View/237232
237233,롯데상사(주),해외영업·무역영업,2,https://www.jobkorea.co.kr/starter/PassAssay/View/237233
237236,(주)아모레퍼시픽,인사·노무·교육,2,https://www.jobkorea.co.kr/starter/PassAssay/View/237236
237240,한국항공우주산업(주),해외영업·무역영업,2,https://www.jobkorea.co.kr/starter/PassAssay/View/237240
237241,한미약품(주),구매·자재,2,https://www.jobkorea.co.kr/starter/PassAssay/View/237241
237245,애경산업(주),인사·노무·교육,3,https://www.jobkorea.co.kr/starter/PassAssay/View/237245
237288,서울특별시농수산식품공사,사무·총무·법무,2,https://www.jobkorea.co.kr/starter/PassAssay/View/237288
237289,㈜현대바이오랜드,해외영업·무역영업,2,https://www.jobkorea.co.kr/starter/PassAssay/View/237289
237307,㈜BGF리테일,영업관리·지원·영업기획,2,https://www.jobkorea.co.kr/starter/PassAssay/View/237307
237326,(주)IBK시스템,웹프로그래머,3,https://www.jobkorea.co.kr/starter/PassAssay/View/237326
237327,(주)유니드글로벌상사,수출입·무역사무,2,https://www.jobkorea.co.kr/starter/PassAssay/View/237327
236960,현대오일뱅크(주),생산관리·공정관리·품질관리,3,https://www.jobkorea.co.kr/starter/PassAssay/View/236960
