기업명,산업분류,게시판번호,y,점수,질문,답변
삼성전자(주),품질관리자,237159,0,3.0,삼성전자를 지원한 이유와 입사 후 회사에서 이루고 싶은 꿈을 기술하십시오,차세대 예지 보전 설비기술 도입 살 때 삼성전자 화성캠퍼스 신설 현장에서 일하며 반도체 설비에 관한 관심을 키우게 되었습니다 당시 공장 내부 가스관 설치 현장에서 배관 시공을 간접적으로 경험하며 설비 유지 보수에 관심을 키우게 되었습니다 아무리 완벽한 반도체 이론이 있더라도 원활한 설비 공급 없이는 제품을 구현할 수 없다는 점을 느꼈습니다 삼성전자 반도체 연구소는 세계 최고의 기술을 연구하여 글로벌 메모리 반도체 위 자리를 년간 지켜내고 있습니다 이런 설비기술의 선구자인 삼성전자에서 차세대 예지 보전 설비관리 특허보유라는 꿈을 이루고 싶습니다좋은점   먼저 반도체 제조의 핵심인 단위공정 설비팀에서 근무하며 경험을 쌓고 싶습니다 특히 열역학적 지식이 필요한 산화 및 증착 공정 설비기술팀에서 근무하며 세계 최고의 전문가들로부터 설비 지식을 배우겠습니다 또한 삼성전자의 직무 심화 양성프로그램을 활용하여 설비 전문가로 성장하겠습니다 이후 항상 현장에 관심을 두고 문제점을 파헤쳐 유지관리 프로세스를 개선하기 위해 노력하겠습니다 특히 차세대 예지 보전 기술도입을 통해 유지비용을 절감하고 예지 보전 분야 특허 확보를 위해 노력하겠습니다 세계 유일 종합반도체 연구소의 선행개발 엔지니어라는 자부심을 쌓고 최첨단 설비 전문가로 성장하여 종합 반도체 부분 세계 위 목표를 함께 이루고 싶습니다좋은점  좋은점  어떻게 이 회사에서 일을 하게 되었는지에 대한 구체적인 설명은 없지만 지원 회사에서 일을 하면서 느낀 점과 그 내용을 바탕으로 지원동기를 작성한 점이 좋습니다 좋은점  이루고 싶은 꿈을 구체적으로 제시한 점이 좋고 지원동기에 일관되어 있다는 점도 좋습니다
삼성전자(주),품질관리자,237159,0,3.0,본인의 성장과정을 간략히 기술하되 현재의 자신에게 가장 큰 영향을 끼친 사건 인물 등을 포함하여 기술하시기 바랍니다 작품속 가상인물도 가능,시행착오를 통한 배움의 자세 학부 학년 때 CATIA 프로그램을 이용해 지게차를 모델링 하며 새로운 배움에 대한 두려움을 떨쳐낸 경험이 있습니다 처음 접하는 설계 프로그램이었기에 결과물을 완성할 수 있을지에 대한 막연한 두려움이 있었습니다 특히 지게차 체인 조립 과정에서 한계를 느꼈습니다 하지만 체인 설계 방법을 다양하게 바꿔보는 시도를 통해 해결할 수 있었습니다 이를 통해 배움에 있어 고비는 반드시 찾아오지만 시행착오를 통해 얼마든지 극복할 수 있다는 자신감을 얻었습니다 이러한 자신감은 이듬해 기업 과제 프로젝트 중 팀원들이 도전하기 꺼리는 Android Studio 프로그램 학습을 자발적으로 맡은 계기가 되었습니다 당시 기업에서 제작 중인 호신용 애플리케이션 개선을 의뢰받았습니다 다들 전공 분야가 아닌 프로그램을 배우기 꺼려했지만 할 수 있다는 자신감을 가지고 프로그램을 배우기로 나섰습니다 수많은 시행착오를 통해 위치전송 서비스를 구현과 소비자 친화적인 UI 구성을 완성했습니다 그 결과 기업에서 저희 팀의 결과물을 채택했고 프로젝트를 성공적으로 마칠 수 있었습니다 이렇듯 입사 후에도 배움에 대한 자신감을 통해 설비기술 전문가로 성장할 수 있다고 확신합니다 포기하지 않고 꾸준히 탐구하여 설비의 전문적인 지식을 갖추어 최적의 설비 운영을 이루겠습니다아쉬운점   창의력과 추진력을 통한 문제 해결 능력 설비기술 엔지니어에겐 불합리한 현상에 지식을 융합하여 문제점을 개선하는 창의력이 필요하다고 생각합니다 학부 과정 동안 경진대회 번을 참가하며 문제 해결 능력을 키웠습니다 특히 학년 시절 창의력과 탐구 의지를 통해 전국 OOOO 경진대회에서 OOOOOOO장관상을 받은 경험이 있습니다좋은점   친형이 유모차를 밀고 오르막길을 올라오는 모습을 보며 기존 유모차의 한계를 느꼈습니다 이것을 계기로 학교에서 배운 PID 제어를 통하여 경사면에서도 일정한 속도를 유지하는 전동모터를 개발하게 되었습니다 이는 기존의 전동 유모차보다  저렴하면서 kg 가볍다는 장점이 있었고 자동 제동기능도 추가하여 기존 유모차의 한계를 뛰어넘었습니다 저의 아이디어를 중심으로 팀원 명이 모여 교내 종합설계 경진대회에 출전했습니다 새로운 시도 속에서 가능성을 만들어 내기 위해 모터 관련 자료들을 찾아보고 전동킥보드를 구매하여 분해하고 비교해 보며 시제품을 제작했습니다 결과물의 실용성과 완성도에서 좋은 평가를 받아 전국 종합설계 경진대회까지 출전하게 되었습니다 이 대회에서도 우수함을 인정받아 산업통상자원부장관상을 받았습니다 이렇게 창의적인 아이디어를 통해 문제점을 해결하고 결과물을 인정받는 과정에서 느낀 보람은 잊을 수가 없었습니다 이는 직무를 선택하는 데 중요한 요인으로 작용했습니다 설비기술 직무를 수행하기 위해서는 항상 현장에 관심을 두고 사소한 문제라도 소홀히 하지 않는 자세가 필요합니다 창의력과 탐구 의지를 통해 삼성전자에서 설비 문제를 예방하고 개선하는 데 이바지하겠습니다아쉬운점  아쉬운점  질문의 요구사항에 맞지 않은 시작이고 내용도 그다지 호감을 주지 못하고 있습니다 본 항목은 성장과정을 쓰는 항목입니다 그리고 그 내용 중에 자신에게 가장 큰 영향을 끼친 사건 인물이 포함되어야 합니다 그런데 이 내용은 이 두가지 모두에 해당되는 내용이 아닙니다 대학시절 경험을 쓰는 것이 문제가 아니라 질문에서 요구한 사항을 쓰지 않았다는 것이 문제입니다 이 내용을 활용하고 싶다면 이 내용 앞에 성장과정에 대한 내용을 제시해야 합니다좋은점  공신력 있는 수상 경험을 활용한 점이 좋습니다아쉬운점  내용이 구구절절 합니다 이 사례를 이렇게 길게 쓸 필요가 없습니다 핵심 위주로 내용을 정리하고 어떤 지식과 능력을 배웠는지를 간략하게 제시하고 마무리를 하면 됩니다 그리고 나머지는 다른 사례를 제시하며 지원자의 창의력 문제해결능력에 공감을 가질 수 있게 해야 합니다
삼성전자(주),품질관리자,237159,0,3.0,최근 사회이슈 중 중요하다고 생각되는 한가지를 선택하고 이에 관한 자신의 견해를 기술해 주시기 바랍니다,클라우드 환경 변화를 넘어 AI 시대로의 패러다임 전략 COVID 으로 인한 비대면 생활양식 보급은 클라우드 서비스 시대를 앞당겼습니다 이는 구글 마이크로소프트 아마존과 같은 대형 클라우드 기업의 데이터센터 투자 확대를 이끌었습니다 또한 ARM을 인수한 엔비디아와 자일링스를 인수한 AMD의 모습은 클라우드 시대로 변화가 시작되었음을 보여준다고 생각합니다 클라우드 서비스는 앞으로 생활 속에 녹아들 것입니다 쇼핑 은행 게임 등 지금 사용하고 있는 애플리케이션을 다운로드 없이 원할 때마다 이용하고 개인 소유 저장공간은 최소화될 것입니다 이는 클라우드 서비스 기업의 서버용 DRAM 수요 증가로 이어질 것입니다 년 인텔의 새로운 서버용 프로세서 출시와 맞물려 삼성전자의 안정적인 DDR 메모리 공급이 이루어진다면 경쟁사와 격차를 확대하는 시기가 될 것입니다 지금까지 보여준 삼성전자의 미래 대응 능력과 안정적인 메모리 공급 능력을 통해 메모리 반도체 시장 위 자리를 지켜낼 수 있을 것입니다 더 나아가 인간의 역할을 대신하는 AI 반도체 시대가 오면 클라우드 시대의 수요증가와 비교도 안 될 정도로 수요가 늘어날 것입니다 삼성전자도 반도체 비전 이라는 계획으로 NPU 개발을 비롯하여 시스템 반도체 글로벌 위 달성을 목표하고 있습니다 삼성전자는 다른 반도체 회사들과 달리 생활가전과 스마트폰과 같은 전자업계에서도 세계 최고의 기술력을 가지고 있습니다 따라서 이 강점을 활용하여 앞으로 다양한 분야에 다양한 방법으로 인공지능 기술을 접목한다면 미래 시장을 선도하는 인공지능 칩을 개발할 수 있을 것으로 생각합니다 이렇게 삼성전자만의 강점을 살려 패러다임 전환기에 대응한다면 종합 반도체 글로벌 위를 넘어 일류 선도 기업으로 성장할 것으로 생각합니다아쉬운점  아쉬운점  크게 문제가 되는 부분이 있는 것은 아닙니다 하지만 이슈의 소재가 아쉽습니다 지원자는 설비기술 분야로 지원하고 있는데 이슈는 클라우드 서비스와 시장에 대해 이야기하고 있습니다 클라우드 서비스는 IT직과 연관이 있고 시장 이야기는 경영 영업 마케팅과 직접적으로 연관이 있습니다 물론 클라우드 서비스를 생산현장의 이슈와 연결한다면 문제가 되지 않습니다 시장이야기를 생산 현장의 생산성과 연결 지었다면 그것도 문제가 되지 않습니다 하지만 지원자는 그러지 않고 순수한 클라우드 서비스와 시장 상황을 이야기하고 있습니다 앞서 말한 것처럼 이렇게 쓴 것이 문제가 되지는 않지만 지원자가 지원분야와 직접적으로 연관이 있는 내용으로 이 부분을 채웠으면 더 좋았을 것이라는 생각이 들었습니다 
삼성전자(주),품질관리자,237159,0,3.0,지원한 직무 관련 본인이 갖고 있는 전문지식경험심화전공 프로젝트 논문 공모전 등을 작성하고 이를 바탕으로 본인이 지원 직무에 적합한 사유를 구체적으로 서술해 주시기 바랍니다,유체와 열에 대한 이해도 설비의 유지보수를 위해선 유체와 열에 대한 이해도가 필수적입니다 OOOO공학을 전공하며 유체역학 항공역학 등의 학습을 통해 유체에 대한 이해도를 높였습니다 더 나아가 졸업 프로젝트로 지금까지 배운 이론을 적용한 공력 해석 프로그램을 개발했습니다 결과적으로 유의미한 시뮬레이션 프로그램임을 인정받아 A학점을 받았습니다 한발 나아가 현재 일반기계기사와 공조냉동기계기사 자격증 취득 중입니다 열역학의 기본 이론부터 냉동이론 등을 학습했습니다 이를 통해 설비 부하율을 관리하고 유지관리 프로세스를 개선하는 역할에 필요한 역량을 키웠습니다 이렇게 관심 분야에 대한 끊임없는 학습 의지를 바탕으로 삼성전자 반도체 연구소 설비기술 전문가로 지속 성장하겠습니다좋은점   가능성을 만들기 위한 도전 불가능해 보이는 목표라도 끊임없이 도전한다면 가능성을 만든다고 생각합니다 학년 시절 해체 직전 동아리를 교내 인기 동아리로 성장시킨 경험이 있습니다 발명 동아리 OOOO에는 신입 부원의 가 탈퇴하는 문제가 있었습니다 이를 극복하고자 동아리 회장으로 출마해 동아리원 명 이상 유지라는 목표를 세웠습니다 먼저 신입생 대상 설계 교육을 했습니다 교육에 열정을 보인 결과 참여한 동아리원들은 설계 프로그램을 능숙하게 다루게 되었습니다 다음으로 학습한 설계 프로그램을 응용할 수 있는 해커톤을 기획했습니다 여러 기관과 연락 끝에 OO OOOO으로부터 지원을 받아 스마트시티 해커톤을 개최할 수 있었습니다 이러한 목표를 향한 끊임없는 도전은 명이 넘는 대규모 인기 동아리로 성장하는 성공을 이끌었습니다아쉬운점   삼성전자 반도체 연구소는 세계 최고의 세계 최초의 기술을 다루는 곳인 만큼 더 높은 성장 목표와 새로운 도전의식을 지닌 사람이 필요하다 생각합니다 발전을 위해 끊임없이 도전하는 자세를 통해 삼성전자의 무한한 가능성을 만들겠습니다                        좋은점  직무와 연관이 있는 지식과 그와 관련한 자신의 노력을 제시한 점이 좋습니다 다만 지원자만의 특별한 능력은 아니라는 점이 아쉽습니다아쉬운점  도전적 특성이 중요한 것은 맞습니다 하지만 이 항목은 질문의 심화전공 프로젝트 논문 공모전 등 이라는 표현에서 느낄 수 있듯이 직접적인 기술적 지식이나 전공 능력을 활용한 경험을 원하고 있습니다 제시한 개인 특성이나 태도가 강조되기 보다는 지식 기술력 경험을 통해 쌓은 능력 등을 제시하는 것이 좋다는 것입니다
삼성전자(주),반도체엔지니어,237044,0,3.0,취미특기,취미 농구 볼링특기 레트로게임기 제작 영화 분석                        
삼성전자(주),반도체엔지니어,237044,0,3.0,존경인물,백종원                        
삼성전자(주),반도체엔지니어,237044,0,3.0,존경이유,끊임없이 자신의 분야에 몰입하는 자세를 존경함                        
삼성전자(주),반도체엔지니어,237044,0,3.0,삼성전자를 지원한 이유와 입사 후 회사에서 이루고 싶은 꿈을 기술하십시오,AI 전문가를 향하여 딥러닝과 컴퓨터비전을 이용한 AI 기술은 제품에 다양한 서비스를 제공할 수 있는 응용력이 뛰어난 분야입니다 학부 시절 인간 시각의 인식률을 초월한 ResNet의 등장소식을 접하면서 AI에 관심을 가졌습니다 현재보다 더 고도화된 미래 IT 시대가 도래했을 때 이러한 기술을 단순히 이용하는 사람이 아니라 주체적인 구현을 통하여 혁신적인 사회 가치를 이끄는 사람이 되고 싶습니다 AI를 공부하기 위해 석사에 진학했고 주로 Object detectionrecognitiontracking 등 컴퓨터비전 알고리즘을 활용한 산학 연구를 진행했습니다 산학 연구가 없던 기간에도 쉬지 않고 꾸준한 자기개발을 위해 교수님의 소개를 받은 회사에서 프리랜서 개발자로 활동하며 실무지식을 배웠습니다 다양한 개발 경험 덕분에 프로젝트 협업의 자세와 인공지능 이슈를 논리적으로 접근하고 기반기술을 통해 플랫폼을 구현하는 능력을 길렀습니다아쉬운점   앞으로도 AI 기술을 연구하고 혁신적인 서비스 개발을 하며 성장하기 위해 국내 위 기업인 삼성전자에 지원했습니다 누구보다도 AI 기술의 발전을 중요하게 여기며 미래 IT 세상의 혁신으로 도전할 준비가 되어있습니다 다가올 차 산업 혁명을 이끌 삼성전자에서 AI 전문가로 향하는 첫발을 떼고 싶습니다아쉬운점  아쉬운점  자신의 이야기를 제시한 점은 좋지만 지원동기에 방향을 맞춰 작성해야 합니다 지원 분야에 호감 준비 과정을 그냥 쓸 것이 아니라 지원회사의 기술 제품 개발 방향에 초점을 맞춰 써야 한다는 것입니다 아쉬운점  결론적으로 지원동기 줄 이루고 싶은 꿈 줄입니다 최고의 기업이니까 지원했고 전문가가 되겠다는 것이 내용인데 성의가 없어 보이고 회사에 대한 체계적인 조사가 없었다는 느낌이 듭니다
삼성전자(주),반도체엔지니어,237044,0,3.0,본인의 성장과정을 간략히 기술하되 현재의 자신에게 가장 큰 영향을 끼친 사건 인물 등을 포함하여 기술하시기 바랍니다 작품속 가상인물도 가능,도전을 망설이던 아이 어려서부터 항상 실패에 대한 막연한 두려움이 있었기 때문에 새로운 일보다는 성공 가능해 보이는 일을 주로 계획하고 실천했습니다 좋지 못한 태도였지만 이러한 계획성 덕분에 학부 시절 높은 학점을 가질 수 있었습니다아쉬운점   그러던 어느 날 대학 구조개혁으로 인해 재학 중이던 학과가 폐지되고 신설 학과로 편입돼버리는 일이 발생했습니다 소프트웨어 시스템 위주의 학문만 배웠던 기존 학과와 달리 편입된 곳은 기계나 전자분야가 융합된 신기술까지 함께 다루는 학과였습니다  신설 학과 특성상 강좌 부족으로 인해 계획에 없던 임베디드 관련 강의를 듣게 됐습니다 당시 선수 과목 지식이 없었고 새로움을 받아들이는 자세가 부족했기 때문에 강의가 어렵게 느껴졌고 실습 또한 전혀 이해하지 못했습니다 높은 학점을 가졌던 제게 기대감이 컸던 학과 동기들이 찾아와 강의에 관한 여러 질문을 했지만 아무 대답을 해줄 수 없었습니다 그렇게 무력감에 빠져서 강의를 거의 포기했을 때 평소 도전적인 일을 좋아하던 동기가 찾아와 제가 해내지 못한 실습을 도와줬습니다 실습을 해낸 비결을 물어보니 그 동기는 신기술에 항상 흥미가 있어서 해당 강의 실습을 즐기며 여러 차례 하드웨어 OS를 포맷하고 끈질기게 에러수정을 했더니 어느새 문제가 해결됐다고 했습니다 그 동기는 항상 특이하고 새로운 강의를 잔뜩 배우느라 좋은 학점을 받지는 못하던 동기였습니다 그러나 그 보상으로 새로움에 도전하는 정신을 배운 것이라는 생각이 들었고 그 동기를 여태껏 이해 못 했던 제 자신이 부끄러워졌습니다아쉬운점   새로움에 도전하는 열정 해당 사건을 계기로 새로움에 도전하는 동기의 영향을 받았습니다 새로움을 수용하는 자세의 필요성을 느꼈고 그것이 IT 개발자로서 옳은 정신이라는 생각이 들었습니다 항상 새로움에 도전하는 사람이 되기 위해 학업을 진행하는 동안 총 세 가지의 꾸준한 노력을 했습니다 첫 번째는 자투리 시간을 활용하여 항상 새로운 IT 정보를 수용했습니다 매일 아침 통학 중 IT 기사를 읽고 텐서플로우 코리아 페이지의 신기술 소식과 추천 논문을 보며 하루를 시작했습니다  두 번째는 기회가 될 때마다 다양한 세미나 전시회에 적극적으로 참가하여 새로운 시야를 넓혔습니다 오픈소스 컨퍼런스 신기술 AI 세미나 등에 참가하여 정보를 얻었고 IT 전시회를 둘러보며 신기술에 관한 견문을 넓혔습니다 마지막은 앞서 실천으로 새로 알게 된 기술들을 직접 구현해보기 위해 다양한 공모전에 도전했습니다 AI 블록체인 임베디드 등 다양한 주제로 프로젝트를 진행하며 경진대회 해커톤 그리고 학술대회 등 공모전 형태를 가리지 않았습니다 그동안 알게 된 다양한 지식 덕분에 창조적인 아이디어가 풍부해져 여러 공모전에서 수상을 누리며 노력을 확인할 수 있었습니다 이러한 성장 과정을 거쳐온 제 자신은 어느새 새로움에 도전하는 것을 망설이지 않게 됐다는 것을 느꼈습니다 앞으로도 끊임없는 열정으로 새로움을 탐구하며 미래에 도전하는 IT 개발자가 될 것입니다좋은점  아쉬운점  성장과정에 적절한 내용이 단 한 줄 제시되어 있습니다 계획성 있는 특징을 말하고자 한다면 어린 시절 및 중 고교시절에 이런 특징이 엿보인 각종 사례를 제시하며 성장과정을 보강할 수 있을 것입니다아쉬운점  이 많은 내용에서 핵심을 정리해보면 학과가 편입되면서 새로운 수업을 들었는데 새로운 내용이라 어렵게 느끼던 중 도전적인 특징이 있는 동기의 도움을 받았고 그 친구의 도전정신에 반성하게 되었다는 것입니다 간단하게 요약 정리할 수 있는 내용인데 너무 구구절절하게 작성되어 있고 이 내용이 현재의 자신에게 가장 큰 영향을 끼친 인물에 대해 쓴 내용 같은데 명시하지 않았습니다 좋은점  다양한 활동을 제시한 점이 좋습니다 각각의 활동을 구구절절하게 쓰지 않고 핵심 위주로 내용을 요약한 점도 효과적입니다 
삼성전자(주),반도체엔지니어,237044,0,3.0,최근 사회이슈 중 중요하다고 생각되는 한가지를 선택하고 이에 관한 자신의 견해를 기술해 주시기 바랍니다,미국 뉴욕주립대학 연구진들의 딥페이크 식별 연구 최근 미국 뉴욕주립대학 연구진들이 눈동자를 이용하여 딥페이크를 판별할 수 있다는 연구결과를 발표했습니다 눈동자에 반사된 빛을 분석하여 가짜 영상을 가려내는 방식으로 개발된 툴은 의 정확도로 딥페이크 영상을 식별할수 있다고 밝혔습니다 이러한 솔루션은 잘못된 정보에 대해 시민들을 보호하기 위한 일환으로 긍정적인 연구분야라고 생각합니다 딥페이크는 영화 게임 쇼핑 등 다양한 분야에서 사용될 수 있는 산업적 활용가치가 높은 기술입니다 딥페이크 기반 기술인 GAN을 처리할 수 있는 NPU 기술 역시 점점 고도화됨에 따라 다양한 종류의 애플리케이션과 서비스에 대한 개발 전망이 밝습니다좋은점  하지만 현재 이런 활용 가치와는 반대로 디지털 성범죄 정치적 선동을 넘어 기업이미지에 피해를 주는 경우에 딥페이크가 사용되고 있습니다 딥페이크를 이용한 범죄는 고도화된 IT 기술에 비해서 올바른 사회적 가치관이 정립되지 못해 발생한 문화지체현상의 일종입니다 일반적인 문화 지체현상은 정책적 대안이나 인식개선운동으로 해결할 수 있지만 딥페이크의 경우는 해당 피해에 대응할 기술적 준비가 병행되어야 한다고 생각합니다아쉬운점   AI와 NPU 사업에 주력하고 있는 삼성전자는 이미 사진 한 장으로 딥페이크를 만드는 기술을 구현한적이 있습니다 이러한 높은 기술 구현력과 인프라를 바탕으로 한다면 딥페이크에 대한 판별 솔루션을 구현하는 것 역시 가능할 것으로 보입니다 삼성전자와 같은 위 기업에서 먼저 딥페이크 기술을 적극 활용한 서비스를 제공하는 동시에 위협요인에 대한 솔루션 연구를 병행한다면 분명 현재보다 더 나은 방향으로 딥페이크가 활용됨은 물론 기업의 이윤추구에도 도움이 될 것으로 생각합니다좋은점  좋은점  지원 분야와 연관이 있는 주제를 활용한 점이 좋고 공신력 있는 자료를 활용한 점도 호감을 줍니다아쉬운점  좋은 내용이지만 예를 들어 어떤 기술적 준비가 있을 수 있는지를 제시했다면 더 호감을 줄 것입니다좋은점  주제와 관련한 지원 기업의 행보를 제시한 점이 좋습니다 다만 제시한 내용과 관련하여 좀 더 구체적인 방안이나 기술을 언급한다면 더 좋은 내용이 될 것입니다
