기업명,산업분류,게시판번호,점수,질문,답변
한국전력공사,기술전문강사,236537,2.0,청년인턴 직무와 관련하여 본인이 수행한 경력 또는 경험 중 가장 대표적인 것에 대해 기술하여 주십시오,집안에 꾸린 미니어처 정보처리 시스템 기업의 서버와 네트워크를 닮다 자택에 개인 서버를 제작하여 운용 중입니다 기업의 실제 정보처리 시스템의 축소판을 구현하려 했으며 이는 직접 업무를 담당하게 되었을 때 무척 유용하리라 생각합니다 그 과정에서 여러 오류와 호환성 문제 등을 직면했고 끈기 있게 해결하여 고부하 상태에서도 안정적인 서버 환경을 만들었습니다 제작 중인 웹페이지도 호스팅 중이며 함께 사는 가족이 끊김 없는 파일 공유 서비스NAS를 이용 중입니다 이를 통해 서비스 중개 프로그램과 서버 보안에 대해 더욱 깊이 이해할 수 있었습니다 또한 이를 문서로 만들어 관련 자료를 보존 중입니다아쉬운점   그리고 평 부지 안의 여러 채의 자택 건물에 인터넷망을 재구축한 경험이 있습니다 기존 네트워크는 필요에 따라 증설해온 연유로 효율적이지 못해 서버가 제공하는 서비스와 인터넷 품질 저하가 심했습니다 이에 새로 랜선을 깔고 공유기들을 교체하여 효율적인 망을 구축했습니다 이를 통해 네트워크 장비와 관련 소프트웨어 관리 경험을 쌓을 수 있었고 서버에 부하가 강하게 걸리더라도 가족이 고품질 인터넷을 사용할 수 있게 되었습니다아쉬운점  아쉬운점  막무가내로 내가 무엇을 하고 있다고 쓰기 보다는 이 회사의 인턴이 주로 어떤 일을 하는지 먼저 조사하고 그 내용에 기반해서 자신은 회사에 어떤 도움이 될 수 있는지를 제시하는 것이 더 논리적인 내용입니다 지원자는 서버구축 경험이 있고 호스팅 경험 NAS 이용 경험이 있습니다 IT 기술에 관심이 있다면 한 번 쯤은 해 본 활동들만 제시했다는 점이 아쉽습니다 이런 내용보다는 전력회사에서 어떤 IT기술이 쓰이고 현장에서 어떻게 업무를 수행하는지 조사하는 활동이 더 직접적인 활동이 될 것입니다아쉬운점  이 경험이 전혀 도움이 되지 않는 경험이라는 것은 아닙니다 과거 흥미로 했던 활동이 아니라 이 회사 입사를 위해 의도적으로 한 활동을 제시하는 것이 좋다는 것입니다 
한국전력공사,기술전문강사,236537,2.0,청년인턴 직무와 관련하여 현재 귀하의 능력 중 보완할 부분과 해당능력을 향상시킬 수 있는 방안에 대하여 구체적으로 기술하여 주십시오,두 개의 전공 네 배의 가치를 쥔 융합적 인재를 지향하다 저는 전자공학 전공 중 정보통신공학과로 전과 년의 긴 재학 기간 끝에 졸업했습니다 이는 영어학 복수전공의 부담도 있었지만 많은 경험을 쌓으려 다양한 활동을 했기 때문입니다 컴퓨터가 좋아 디지털 관련 과목을 주로 수강했고 관련 연구실에 학부 연구생으로 들어가 여러 프로젝트에 참여했습니다 컴퓨터공학과 종합설계 참여 후 그와 유사한 정보통신공학과에서 흥미로운 과목들을 더 배울 수 있다고 판단하여 전과했습니다 기계어에 가까운 저급 언어부터 사용자와 밀접한 고급 언어까지 두루 배웠고 당시 잘 몰랐던 정보처리 지식도 쌓았습니다 하지만 컴퓨터 공학은 연구할수록 배울 것이 무궁무진하게 많다고 느끼며 실력 부족을 체감했습니다아쉬운점   이에 전자계산기조직응용기사 취득 전자계산기기사 실기와 정보처리기사 필기에 응시할 예정입니다 또한 ESS 설비와 같은 신도입 기술을 찾아 배우겠습니다 미래형 인재는 통합할 수 있는 사람이라 생각합니다 원자단위의 작은 반도체부터 전 세계의 그리드 시스템까지 다루는 자 공학과 인문학 두 개의 받침대를 가진 파이형 인재가 되기 위해 끊임없이 노력하겠습니다아쉬운점  아쉬운점  자신에게 무엇이 부족한지를 묻고 있는데 이 부분에서 자신이 무엇을 했는지를 설명하고 있고 마지막에 애매한 말로 실력이 부족하다는 말을 하고 있습니다 어떤 실력이 부족하다는 것인지 잘 모르겠습니다아쉬운점  막연한 목표와 포부를 이야기할 것이 아니라 부족한 부분에 대한 능력 향상 방안을 제시해야 합니다 앞 부분에서 부족한 부분에 대한 명쾌한 정의가 없어서 이 부분도 막연하게 작성했습니다
한국전력공사,기술전문강사,236537,2.0,의사소통 과정에서 발생한 오해를 풀기 위해 노력했던 경험에 관해 기술하여 주십시오,오해를 풀어준 경청과 대화 조별 과제로 복잡한 프로그램을 개발한 적이 있습니다 나이 차가 많이 나는 저학년생과 팀을 꾸렸습니다 프로젝트 규모와 문서작업 비중이 컸기에 효율 증진과 문서작업 병행이 가능한 폭포수 모델의 소프트웨어 개발 프로세스를 따르자고 제시하였습니다 하지만 개발 진행은 더뎠고 프로젝트 모듈화가 계획대로 되지 않아 기능들이 정상 작동하지 않았습니다 그대로 프로젝트를 진행하면 문제가 있을 것으로 판단하였습니다  그래서 개발 중반쯤 상의를 하여 팀원이 프로세스를 따르지 않는 것과 문서화가 더딘 이유에 관해 물었습니다 대답을 들어 보니 팀원은 저학년이라 개발 경험이 부족했고 개발 프로세스에 대해 배우지 않아 이해도가 낮았으나 나이 차이의 압박과 부족한 시간에 쫓겨 따라오기 바빴던 것입니다  팀원의 이야기를 듣고 나서야 저는 팀원의 처지를 이해할 수 있었습니다 팀원이 이해할 수 있게끔 프로세스를 설명하고 업무 재분배를 통해 좋은 결과를 내었습니다 또한 프로젝트팀장으로서 인력 관리 기법을 얻었습니다 앞으로 불통이나 오해가 생겼을 때 대화가 필요하며 상대방의 처지에서 공감할 수 있어야겠음을 느꼈습니다아쉬운점  아쉬운점  본 내용은 의사소통의 오해에 대한 이야기가 아니라 프로젝트 수행과정에서 발생한 업무 능률 저하의 문제에 대한 내용입니다 의사소통에 어떤 문제가 있었는지 어떤 오해가 있었는지 제대로 설명하지 않았습니다
한국전력공사,기술전문강사,236537,2.0,귀하가 스스로 문제를 발견하고 이를 해결했던 경험에 대해 기술하여 주십시오,조그만 노력이 가져다준 공익증진의 기쁨 사회복무요원 복무 중 맡았던 사무업무는 엑셀을 많이 사용했습니다 대부분 어려운 작업은 아니었으나 시간이 매우 오래 걸리는 단순 업무였습니다 엑셀의 함수와 매크로 기능을 십분 활용하면 자동화가 가능할 것이란 생각이 문득 들었습니다 근무 중이던 지역아동센터는 이미 인력 부족을 겪고 있었고 제 전역 이후 새 요원 배치 예정이 없었습니다 추후 요원업무의 인계로 인한 종사자들의 업무강도 상승을 줄이기 위해 더욱 이 자동화 작업이 필요했습니다  자동화 작업은 프로그램 제작과 흡사하여 어렵지 않았으나 작업량이 많았고 지역아동센터 특성상 한 가지 업무에 계속 집중할 수 있는 환경이 아니어서 전체 작업을 마치기까지 주가 넘게 소요됐습니다 그리고 추후 자동화 양식 수정이 필요하거나 이용자가 사용법을 모를 수 있어 이용법과 구조 설명을 담은 매뉴얼도 같이 만들었습니다  그 결과 매월 요원 두 명이 시간 동안 하던 작업을 한 명이 시간 안에 끝낼 수 있는 양식이 완성됐습니다 덕분에 종사자들은 좀 더 아동을 돌보는 데 시간을 할애할 수 있게 되었고 저의 소집해제 후에도 업무 부담이 줄었다고 말씀하십니다좋은점  좋은점  질문의 요구에 잘 맞는 이야기 소재라는 점이 좋고 자신의 지원분야 및 전공과 연관된 경험이라는 점도 좋습니다
한국전력공사,전기전자엔지니어,235568,4.0,우리공사 및 지원한 직무에 관심이 생긴 계기를 기술하고 우리공사에서 근무하면서 어떤 부분을 성취하고 싶은지 기술해 주세요,안정적인 전력공급의 필요성 고등학교 재학 중 프로젝트 연수를 위해 주간 OOOOO에서 생활한 경험이 있습니다 OOOOO에 도착한 후 처음 느낀 것이 전력 기술이 우리나라보다 부족하다는 것이었습니다 수도에서 멀지 않은 도시였음에도 하루에도 수차례 정전이 일어나며 생활에 불편함을 느꼈습니다 그러다 문득 우리나라에서는 이런 불편함을 느낀 적이 없었음을 깨달았습니다 이를 계기로 당연하게 누리던 전기를 사용하기 위해서는 한국전력공사의 역할과 책임이 막중함을 실감하게 되었습니다 또한 안정적인 전력공급이 삶에 얼마나 많은 영향을 미치는지 알 수 있었습니다 그 결과 우리나라의 송변전 배전 과정에 관심을 가지게 되었습니다좋은점   전력산업의 선두주자 저는 한국전력공사에 근무하면서 전력산업의 선두주자가 되고 싶습니다 모든 분야에서 차산업 혁명의 여파로 많은 것이 변화하고 있습니다 전력산업 분야도 예외가 아니며 다양한 기술과 아이디어가 쏟아져 나오고 있습니다 예를 들어 스마트그리드나 배전 자동화 시스템과 같이 차산업에서 가장 주목되는 지능화와 정보화를 활용한 기술들이 등장하고 있습니다 이런 기술들이 송변전 배전 과정에 활용되기 위해서는 각 과정에 참여하는 인원이 해당 기술에 대해 전문적인 지식을 가지고 있어야 합니다 또한 앞으로도 수많은 전력 아이디어와 기술들이 추가적으로 나올 것입니다 이에 따라 한국전력공사에서 근무하면서도 새로운 기술을 공부하고 연구하며 전력 신기술에 전문성을 갖추겠습니다 결과적으로 차산업 혁명시대의 전력 신기술 전문가가 되어 우리나라 전력산업을 이끌어나가는 선두주자가 되겠습니다 전력 신기술 분야의 전문가가 되기 위해서는 바탕이 되는 전기 지식이 확립되어야 합니다 저는 이를 위해 전기기사를 목표로 열심히 노력해 전기 지식을 공고히 하겠습니다좋은점  좋은점  질문에서 관심을 가지게 된 계기를 묻고 있는데 그에 대해 정확하게 내용을 기술하고 있습니다좋은점  회사가 속한 산업분야의 동향과 전망을 활용하며 자신의 성취분야를 제시한 점이 좋습니다 막연한 꿈과 포부가 아니라 기술과 환경의 변화에 자신을 목표를 맞추었다는 점이 좋다는 것입니다
한국전력공사,전기전자엔지니어,235568,4.0,지원 분야와 관련된 우리공사의 주요 사업 중 본인이 어떤 부분에 기여하고 싶은지기술해 주십시오본인의 직무역량 및 강점을 중심으로 기술하며 직무역량 및 강점이 잘 나타난 사례를 포함하여 기술,전력산업의 미래먹거리 한국전력공사의 HVDC 사업에 이어 동북아 슈퍼그리드를 이룩하는데 기여하고싶습니다 한국전력공사는 강원도 지역에서 생산되는 전력을 수도권으로 보내기 위해 HVDC 건설사업을 추진 중입니다 동해안과 신가평을 잇는 이번 직류 장거리 송전망 사업으로 HVDC관련 기술을 확보할 수 있습니다 HVDC기술은 동북아 슈퍼그리드를 확립하는 데 중요합니다 슈퍼그리드는 국가 간 전력망을 연결해 에너지를 공유하는 것입니다 이는 에너지 의존도가  달하는 우리나라의 문제를 해결할 수 있습니다좋은점   HVDC나 슈퍼그리드와 같이 새로운 사업을 할 때 계획을 잘 세우고 실행하는 능력이 중요하다고 생각합니다 더불어 계획이 잘 이행되도록 함께 나아가는 리더쉽이 만났을 때 상호보완 효과를 만듭니다 HVDC기술이 미래에 슈퍼그리드를 구성할 때 저의 실행능력과 리더쉽으로 한국전력공사에 기여하고 싶습니다아쉬운점    실행능력과 리더쉽으로 계획을 실천한 경험 다양한 아이디어 대회에 출전하면서 역량을 키워왔습니다 그중 제회 OOOO기술 아이디어 공모전에서 역량을 발휘한 경험이 있습니다 인 이하의 팀으로 국민 생활 편의성 향상 기술을 주제로 포스터를 만들어 제출하는 대회였습니다 저는 공모전에 참여하기 위해 계획을 세웠습니다 차례대로 팀원 모집 역할배분 아이디어 선정 기술검토 서류작성 포스터 작성이었습니다 팀원을 모집할 때 역할 배분을 고려하여 각각의 과정을 맡을 수 있는 친구들과 함께하기로 했습니다 그 후 각자 정해진 과정에 리더가 되어 팀 과제를 수행했습니다 학업으로 시간이 많지 않았음에도 불구하고 팀장으로서 계획했던 대로 친구들과 함께 과제를 수행해 나갔습니다 결국 저희는 빠르게 완성도 있는 과제를 만들어 냈습니다 저는 계획을 세우고 실행하는 실행능력과 리더쉽을 발휘하여 과제를 성공적으로 수행할 수 있었습니다 한국전력공사에서 근무할 때 위와 같은 경험을 바탕으로 한국전력공사의 사업에 기여하겠습니다아쉬운점  좋은점  회사의 사업에 대한 내용을 잘 정리했습니다 아쉬운점  실행력 리더십과 같은 추상적인 역량을 쓰는 항목이 아닙니다 아쉬운점  질문에서 사례를 포함하라고 했기 때문에 이 사례를 제시했을 것입니다 하지만 내용이 호감을 주지 못하고 있습니다 지원자는 글 서두에 HVDC를 언급했고 슈퍼그리드를 언급했습니다 그렇다면 이와 관련하여 지원자가 가지고 있는 지식적 역량은 무엇이 있는지 설명해야 합니다 예를들면 고압 송전에 대해 무엇을 학습했고 어떤 지식이 있는지에 대한 내용이나 교류전력에 대한 이해도 전력 주파수에 대한 지식 등 구체적이고 실제적인 지식이나 스킬에 대한 내용을 제시해야 한다는 것입니다 
한국전력공사,전기전자엔지니어,235568,4.0,의사소통 과정에서 발생한 오해를 풀기 위해 노력을 기울였던 경험에 대해 기술해주세 요당시 상황과 오해의 원인 해결 노력 결과를 포함하여 기술 자,경청을 통해 오해를 이해로 만든 경험 프로젝트 과정 중에 의견이 달라 오해가 생긴 경험이 있습니다 프로젝트 연수에서 네 명이 한팀이 되어 지속 가능한 발전 목표를 주제로 보드게임을 만드는 과제를 수행했습니다 저희 조는 여러 종류의 카드를 사용해 자원을 모으고 자원을 사용해 사회기반시설을 건설하면 승리하는 게임을 기획했습니다 보드게임을 만들던 도중 카드의 종류에 관해서 다른 의견이 있었습니다 처음 기획했던 카드보다 더 많이 만들자는 의견과 그대로 진행하자는 명이 있었습니다 저는 카드를 추가했을 때 완성도의 차이도 미미할 것으로 예상했고 시간 또한 촉박해 반대했습니다 이때 카드를 추가하자는 측에서 오해가 발생했습니다 제가 과제 수행에 열심히 참여하지 않는다고 판단한 것입니다 이대로 가면 보드게임을 완성하기도 힘들고 서로 기분이 상하게 된 채로 프로젝트를 마무리해야 할 위기에 처했습니다 좋은점   저는 이를 해결하기 위해 먼저 찬성 측의 의견을 자세히 들어보기로 했습니다 찬성 측의 의견은 열심히 기획한 것을 바꾸기 아쉽다는 것이었습니다 대화를 들어보니 찬성하는 이유가 감정적인 이유임을 알 수 있었습니다 먼저 찬성 측의 의견에 같은 감정임을 전달했습니다 이야기를 충분히 들은 후 제가 반대했던 이유를 이해할 수 있게 설명했습니다 찬성 측 친구들도 제가 반대했던 이유를 이해해 주었습니다 저는 두 의견을 모아 기획을 수정하고 카드를 조금만 추가하는 절충안을 제시했습니다 양측 모두 동의했고 열심히 제작한 결과 종합 등을 하며 우수한 성적으로 프로젝트를 마무리했습니다 좋은점   저는 위와 같은 경험을 통해 경청의 효과를 다시 느낄 수 있었습니다 한국전력공사에서 근무할 때 동료 간의 오해나 갈등이 발생할 수 있습니다 이때 먼저 다가가서 이야기를 들어준다면 원활하게 상황을 풀어나갈 수 있습니다 한국전력공사에 근무하게 된다면 여러 상황에서 발생한 오해와 문제를 경청을 통해 효과적으로 해결하겠습니다                        좋은점  질문의 요구 사항에 맞게 내용을 잘 작성했습니다 그리고 이야기 소재도 좋습니다 상황 오해의 원인을 잘 설명하고 있습니다좋은점  해결을 위한 노력과 결과를 잘 설명하고 있습니다 내용도 잘 정리되어 있습니다
한국전력공사,전기전자엔지니어,235568,4.0,귀하가 스스로 문제를 발견하고 이를 해결했던 경험에 대해 기술해 주세요문제발견 계기 및 해결과정 해결방법 선택이유 결과를 포함하여 기술 자,리스크를 줄여 문제를 해결한 경험 동아리에서 팀으로 출전한 항공우주과학경진대회에서 문제 해결을 통해 등 상인 장관상을 수상한 경험이 있습니다 제가 참가한 부분은 창작비행기 부분으로 가볍고 잘 나는 기체를 만들어야 했습니다 이 때문에 저희 팀은 압축스티로폼을 성형해 날개를 만들고 긴 탄소봉을 이용하여 몸체를 제작했습니다 제작 기간이 촉박하여 기체 제작 후 시험비행도 하지 못한 채 대회장으로 이동해야 했습니다 시험비행을 하지 못했기 때문에 저는 기체에 결함이 있을 것을 우려했습니다 시험비행을 하기에는 시험비행 중 기체가 파손되는 일이 생기면 대회출전이 불가할 수 있으므로 신중해야 했습니다 이 때문에 결함이 생길 수 있는 부분을 신중하게 확인했습니다 그 결과 총 두 가지 부분에서 결함이 우려되었습니다 첫 번째 양측 날개의 불균형이 있을 것이라 생각했습니다 두 번째 날개와 몸체 부분의 결속이 약할 수 있다고 생각했습니다 좋은점   두 가지 문제를 시험비행 없이 해결해야 했습니다 먼저 결속력 부분은 고무줄을 사용해 단단히 체결하여 고정했습니다 다만 날개의 불균형은 비행 없이는 알기 굉장히 힘들었습니다 그럼에도 불구하고 얇은 막대기 위에 기체를 올려 최대한 좌우 균형을 확인하였습니다 이 과정을 통해 실제로 좌우 균형이 맞지 않음을 확인할 수 있었습니다 저는 무게추를 날개 끝에 달고 날개를 얇게 갈아 균형을 맞추었습니다 저희 팀은 적절한 대처를 통해 장관상을 수상할 수 있었습니다 직무 상황에서 문제가 발생했을 때 문제 해결 과정에서 위험을 줄이는 것은 중요합니다 해결 과정에서 더 큰 문제를 만들 수 있기 때문입니다 안전에는 기기나 계통의 안전뿐 아니라 생명의 안전이 포함됩니다 한국전력공사에 근무하면서 문제가 발생한다면 위험을 줄이며 안전하게 문제를 해결해나가겠습니다좋은점  좋은점  질문의 요구 사항에 맞게 내용을 잘 작성했습니다 그리고 이야기 소재 결과도 좋습니다 문제발견의 계기 해결방법 선택이유를 설명하기 위해 상세하게 배경을 설명한 점도 좋습니다좋은점  해결과정과 결과에 대한 내용입니다 내용이 잘 정리되어 있고 성과가 좋았던 경험이라는 점이 좋습니다
한국전력공사,사무담당자,235655,2.0,한국전력공사의 가지 인재상 중 본인과 가장 부합된다고 생각하는 인재상을 두 가지 선택하여 그렇게 생각하는 이유를 본인의 가치관과 연계하여 교육사항 경험경력 등 구체적인 사례를 들어 기술하여 주십시오,함께하는 도전의 가치 혼자 가면 빨리 가지만 함께 가면 멀리 간다는 말에 깊이 공감하여 오랫동안 함께 갈 수 있는 끈끈한 팀을 만드는 데 집중하는 편입니다 이런 저의 모습은 한국전력공사의 통섭형 도전적 인재와 가장 부합한다고 생각합니다좋은점  보드게임 기업의 펀딩 프로젝트 당시 팀원 간의 진심 어린 소통으로 협업을 이끌어내며 프로젝트를 성공적으로 마쳤던 경험이 있습니다 대부분의 팀원은  펀딩률 달성 및 제품 출시라는 공동의 목표를 위해 적극적으로 참여하였으나 일부 소극적으로 참여하는 팀원도 있었습니다 팀원마다 우선순위가 다르다는 것을 인지하고 솔직한 생각을 듣고자 일대일로 연락을 취했습니다 프로젝트와 개인 일정이 겹치면서 프로젝트 일정이 부담스러워졌다는 이야기를 듣게 되었습니다 꼭 함께 프로젝트를 마치고 싶다는 진심을 전하며 팀원의 부담감을 덜어줄 방법을 고민하였습니다  이를 위해 팀원들의 활동 이력에 특화된 업무를 재배분하여 프로젝트 부담감을 줄이고자 노력하였습니다 시간이 오래 걸려 팀원들이 기피하던 업무는 제가 담당하였습니다 팀원들이 주력 업무에서 빠르게 성과를 얻자 점차 적극적인 자세로 프로젝트에 임해주었습니다 그 결과 모든 팀원이 제품 출시라는 목표 하에 함께 노력하여 기존 목표였던 펀딩률 를 초과 달성하였습니다아쉬운점  좋은점  질문의 요구대로 두가지 인재상을 제시한 점이 좋습니다아쉬운점  막연하게 사례만 말할 것이 아니라 이 내용에서 지원자가 통섭형 인재이고 도전적 인재임이 느껴지게 써야 합니다 본 내용은 이 경험에 대한 설명일 뿐 질문의 의도에 맞게 쓴 내용은 아닙니다
한국전력공사,사무담당자,235655,2.0,한국전력공사에 지원하게 된 동기 희망 직무를 선택한 이유 그리고 입사 후 포부를 본인의 교육사항  경험경력 등과 연계하여 구체적으로 기술하여 주십시오,대체 불가능한 기업 저는 저소득층 중학생을 대상으로 교육봉사를 진행했습니다 아이들에게 아낌없이 도움을 주려던 마음과는 달리 넉넉하지 못한 동아리 예산으로 인해 수업 도중 전기가 나가는 일도 생겼습니다 교육봉사를 마친 뒤 오히려 아이들에게 많은 것을 배울 수 있었고 나눔의 진정한 가치를 되짚어보게 되었습니다 전기 걱정 없이 마음껏 생활할 수 있는 환경을 만들어주고싶다는 생각이 들었고 전기와 관련된 한국전력공사에서 일하며 공공의 가치 증진을 위해 일하고 싶다는 꿈을 갖게 되었습니다 한국전력공사의 전력거래를 꼼꼼히 분석하고 국민에게 유익한 전력거래 정책으로 보답하고자 지원하였습니다아쉬운점   한국전력공사의 사무직 특히 영업 업무를 맡아 전력수요 및 전력거래를 분석하여 효율적인 전력 정책을 수립하여 한국전력공사 및 공공 이익 증대를 실현하겠습니다 년간 경영학을 전공하며 수행한 여러 국내외 사업 환경분석 프로젝트를 수행한 경험이 있습니다 학우들을 대상으로 이벤트 사업을 운영하고 신사업 발굴 프로젝트를 통해 해외 사업환경을 분석한 경험이 있습니다 또한 달 간의 빅데이터 전문가 양성 과정을 이수하며 관련 자격증인 ADsP을 취득했습니다 빅데이터에 대한 이해와 국내외 사업분석 경험을 바탕으로 한국전력공사에 유리한 사업 영역을 파악하고 다각도에서 사업 리스크를 관리하겠습니다아쉬운점  아쉬운점  억지로 끼워 맞춘 내용이라는 느낌이 들고 단순한 호감에 의해 지원했다는 느낌을 주고 있습니다 이 경험 이후 직장으로서 이 회사가 어떤 특징이 있고 자신이 꿈꾸는 직업 환경에 어떻게 부합하는지 알아보는 활동을 해야 합니다 그리고 그 활동의 결과 어떤 이유로 이 회사에 지원하는지 제시할 때 좀 더 논리적인 글이 됩니다아쉬운점  이 회사의 직무 기술서에서 지원자는 어떤 업무에 관심이 있는지 먼저 제시하고 해당 업무가 수행하는 일과 관련하여 자신의 과거 교육 경험을 바탕으로 무엇을 할 수 있는 지를 제시해야 현실적인 내용이 됩니다
